monsoon_year,Change_Class,driver,min_value,q25,median_value,q75,max_value,n_months,dominant_range,full_range
2019,erosion,VHM0_mean,1.1257257,1.1840312,1.4539516,1.9620789,2.5310888,12,1.184 to 1.962,1.126 to 2.531
2019,erosion,VMDR_mean,173.5996,182.68729,193.84749,214.77112,224.02353,12,182.687 to 214.771,173.600 to 224.024
2019,erosion,VTPK_mean,11.530583,12.94128,13.349335,13.471915,14.558669,12,12.941 to 13.472,11.531 to 14.559
2019,erosion,eastward_wind_mean,-0.43,0.525,1.525,4.275,5.67,12,0.525 to 4.275,-0.430 to 5.670
2019,erosion,northward_wind_mean,-1.03,-0.7725,0.005,0.6375,1.37,12,-0.772 to 0.637,-1.030 to 1.370
2019,erosion,uo_mean,-0.4852443,-0.07614368,0.012817774,0.1680044,0.3540147,12,-0.076 to 0.168,-0.485 to 0.354
2019,erosion,vo_mean,-0.27161473,-0.151677,-0.057374798,0.008850368,0.18372142,12,-0.152 to 0.009,-0.272 to 0.184
2019,erosion,zos_mean,0.33478805,0.39605397,0.47608876,0.514008,0.5706961,12,0.396 to 0.514,0.335 to 0.571
2020,erosion,VHM0_mean,1.0027016,1.1764818,1.5005949,1.9614294,2.3873334,12,1.176 to 1.961,1.003 to 2.387
2020,erosion,VMDR_mean,169.9544,178.13087,182.99603,200.3412,212.08884,12,178.131 to 200.341,169.954 to 212.089
2020,erosion,VTPK_mean,12.848708,13.5092745,13.725658,13.951767,14.8550415,12,13.509 to 13.952,12.849 to 14.855
2020,erosion,eastward_wind_mean,-0.78,-0.06,1.015,3.94,5.26,12,-0.060 to 3.940,-0.780 to 5.260
2020,erosion,northward_wind_mean,-0.24,0.39000002,0.765,1.2075,1.55,12,0.390 to 1.207,-0.240 to 1.550
2020,erosion,uo_mean,-0.22461623,-0.0245674,0.0024414808,0.13809626,0.39368877,12,-0.025 to 0.138,-0.225 to 0.394
2020,erosion,vo_mean,-0.2862636,-0.10757774,-0.028992584,-0.0018311106,0.06103702,12,-0.108 to -0.002,-0.286 to 0.061
2020,erosion,zos_mean,0.4034547,0.46243173,0.4829554,0.5080569,0.5691702,12,0.462 to 0.508,0.403 to 0.569
2021,accretion,VHM0_mean,1.1689113,1.2596831,1.6163602,2.1031058,2.3587902,12,1.260 to 2.103,1.169 to 2.359
2021,accretion,VMDR_mean,179.01709,191.96967,206.0445,211.66663,224.67154,12,191.970 to 211.667,179.017 to 224.672
2021,accretion,VTPK_mean,12.232661,12.794476,13.082792,13.834958,14.876371,12,12.794 to 13.835,12.233 to 14.876
2021,accretion,eastward_wind_mean,-0.36,0.16000001,2.42,4.6225,5.08,12,0.160 to 4.622,-0.360 to 5.080
2021,accretion,northward_wind_mean,-0.64,-0.2125,0.09,0.38500002,0.6,12,-0.213 to 0.385,-0.640 to 0.600
2021,accretion,uo_mean,-0.2929777,-0.18539995,0.02990814,0.06256294,0.2862636,12,-0.185 to 0.063,-0.293 to 0.286
2021,accretion,vo_mean,-0.220954,-0.11291848,-0.061952576,0.05920591,0.13794366,12,-0.113 to 0.059,-0.221 to 0.138
2021,accretion,zos_mean,0.40314952,0.44320506,0.5117954,0.60106206,0.63234353,12,0.443 to 0.601,0.403 to 0.632
2022,accretion,VHM0_mean,1.0434822,1.1869758,1.6669711,2.1549165,2.3765323,12,1.187 to 2.155,1.043 to 2.377
2022,accretion,VMDR_mean,181.36075,190.17973,204.80264,214.31866,231.54263,12,190.180 to 214.319,181.361 to 231.543
2022,accretion,VTPK_mean,9.715667,12.18871,12.73799,13.402372,13.861572,12,12.189 to 13.402,9.716 to 13.862
