monsoon_year,year_month,uo_max,uo_mean,vo_max,vo_mean,zos_max,zos_mean
2017,2017-10,-0.016479995,-0.016479995,0.010376293,0.010376293,0.44495988,0.44495988
2017,2017-11,-0.06469924,-0.06469924,-0.023194067,-0.023194067,0.5304117,0.5304117
2017,2017-12,-0.065309614,-0.065309614,-0.0347911,-0.0347911,0.55116427,0.55116427
2017,2018-01,-0.046998505,-0.046998505,-0.07141331,-0.07141331,0.5304117,0.5304117
2017,2018-02,-0.07507554,-0.07507554,-0.017700735,-0.017700735,0.4852443,0.4852443
2017,2018-03,-0.052491836,-0.052491836,0.011597034,0.011597034,0.4812769,0.4812769
2018,2018-04,-0.010986663,-0.010986663,0.02929777,0.02929777,0.5178991,0.5178991
2018,2018-05,0.05859554,0.05859554,-0.018921476,-0.018921476,0.4828028,0.4828028
2018,2018-06,0.114749596,0.114749596,-0.08667257,-0.08667257,0.40223396,0.40223396
2018,2018-07,0.10681479,0.10681479,-0.12878811,-0.12878811,0.35126805,0.35126805
2018,2018-08,0.11963256,0.11963256,-0.14648885,-0.14648885,0.3399762,0.3399762
2018,2018-09,0.03601184,0.03601184,0.0006103702,0.0006103702,0.4034547,0.4034547
2018,2018-10,0.022583697,0.022583697,-0.021973327,-0.021973327,0.4794458,0.4794458
2018,2018-11,-0.054933317,-0.054933317,0.003051851,0.003051851,0.47120577,0.47120577
2018,2018-12,-0.043946654,-0.043946654,-0.028077029,-0.028077029,0.56428725,0.56428725
2018,2019-01,-0.12634663,-0.12634663,0.07629627,0.07629627,0.54017764,0.54017764
2018,2019-02,-0.017090365,-0.017090365,-0.019531846,-0.019531846,0.5188147,0.5188147
2018,2019-03,0.024414808,0.024414808,-0.028687399,-0.028687399,0.49165317,0.49165317
2019,2019-04,0.013428144,0.013428144,0.016479995,0.016479995,0.4791406,0.4791406
2019,2019-05,0.042115543,0.042115543,-0.0073244423,-0.0073244423,0.48615986,0.48615986
2019,2019-06,0.093386635,0.093386635,-0.064088866,-0.064088866,0.47181615,0.47181615
2019,2019-07,0.039063692,0.039063692,-0.014648885,-0.014648885,0.45167392,0.45167392
2019,2019-08,0.05859554,0.05859554,-0.006714072,-0.006714072,0.4095584,0.4095584
2019,2019-09,-0.003051851,-0.003051851,0.08789331,0.08789331,0.46540728,0.46540728
2019,2019-10,0.018921476,0.018921476,0.03662221,0.03662221,0.49439985,0.49439985
2019,2019-11,-0.003051851,-0.003051851,-0.013428144,-0.013428144,0.50935394,0.50935394
2019,2019-12,-0.03112888,-0.03112888,0.0054933317,0.0054933317,0.49806207,0.49806207
2019,2020-01,-0.012207404,-0.012207404,0.06469924,0.06469924,0.5175939,0.5175939
2019,2020-02,0.0054933317,0.0054933317,0.045777764,0.045777764,0.5691702,0.5691702
2019,2020-03,-0.03112888,-0.03112888,0.055543687,0.055543687,0.5355998,0.5355998
2020,2020-04,0.0024414808,0.0024414808,0.014648885,0.014648885,0.53712577,0.53712577
2020,2020-05,0.039063692,0.039063692,-0.03662221,-0.03662221,0.4709006,0.4709006
2020,2020-06,0.05981628,0.05981628,-0.05859554,-0.05859554,0.5008087,0.5008087
2020,2020-07,0.048829615,0.048829615,-0.051881466,-0.051881466,0.4300058,0.4300058
2020,2020-08,0.06286813,0.06286813,-0.06836146,-0.06836146,0.40803248,0.40803248
2020,2020-09,0.043336283,0.043336283,-0.026245918,-0.026245918,0.44526505,0.44526505
2020,2020-10,0.07629627,0.07629627,-0.08545183,-0.08545183,0.44862208,0.44862208
2020,2020-11,0.0347911,0.0347911,-0.06103702,-0.06103702,0.6036561,0.6036561
2020,2020-12,-0.03784295,-0.03784295,0.02929777,0.02929777,0.6021302,0.6021302
2020,2021-01,-0.065309614,-0.065309614,0.008545183,0.008545183,0.63417464,0.63417464
2020,2021-02,-0.0695822,-0.0695822,0.042115543,0.042115543,0.5999939,0.5999939
2020,2021-03,-0.0073244423,-0.0073244423,0.03540147,0.03540147,0.5987732,0.5987732
2021,2021-04,0.027466659,0.027466659,0.0012207404,0.0012207404,0.5310221,0.5310221
2021,2021-05,0.06164739,0.06164739,-0.048219245,-0.048219245,0.5417035,0.5417035
2021,2021-06,0.067751095,0.067751095,-0.05920591,-0.05920591,0.48249763,0.48249763
2021,2021-07,0.06225776,0.06225776,-0.06653035,-0.06653035,0.4483169,0.4483169
2021,2021-08,0.07202368,0.07202368,-0.07202368,-0.07202368,0.4196295,0.4196295
2021,2021-09,0.051881466,0.051881466,-0.03112888,-0.03112888,0.45503098,0.45503098
2021,2021-10,0.016479995,0.016479995,-0.019531846,-0.019531846,0.4766991,0.4766991
