driver,unit,direction_to_accretion,threshold_method,spearman_rho,severe_erosion_threshold,severe_erosion_low_95,severe_erosion_high_95,erosion_onset_threshold,erosion_onset_low_95,erosion_onset_high_95,accretion_onset_threshold,accretion_onset_low_95,accretion_onset_high_95,strong_accretion_threshold,strong_accretion_low_95,strong_accretion_high_95,eroded_high_count,eroded_high_q25,eroded_high_median,eroded_high_q75,eroded_low_count,eroded_low_q25,eroded_low_median,eroded_low_q75,stable_count,stable_q25,stable_median,stable_q75,accreted_low_count,accreted_low_q25,accreted_low_median,accreted_low_q75,accreted_high_count,accreted_high_q25,accreted_high_median,accreted_high_q75
VMDR_mean,degree,direct,ordered_logit+kde,0.2272297283481993,200.855529927254,,,200.855529927254,,,200.855529927254,,,200.855529927254,,,47,179.85094451904297,191.63795471191406,210.0934066772461,24,183.77397537231445,195.2920684814453,205.25820922851562,12,186.74574279785156,205.2008056640625,217.09807586669922,48,191.49295043945312,204.59487915039062,212.05793380737305,12,188.78461456298828,201.4170913696289,215.49842834472656
eastward_wind_mean,m/s,direct,ordered_logit+kde,0.10834431605975044,2.552021356085041,,,2.552021356085041,,,2.552021356085041,,,2.552021356085041,,,47,0.054999999701976776,1.3700000047683716,4.694999933242798,24,0.22500000894069672,1.6800000071525574,4.355000138282776,12,1.1325000151991844,3.125,5.345000147819519,48,0.45499999821186066,3.5,4.955000042915344,12,0.7824999839067459,2.2350000739097595,4.465000152587891
zos_mean,m,direct,ordered_logit+kde,0.09091134585579579,0.5088229966283769,,,0.5088229966283769,,,0.5088229966283769,,,0.5088229966283769,,,47,0.43931393325328827,0.4776146709918976,0.5186620950698853,24,0.429548017680645,0.48661763966083527,0.5274361670017242,12,0.45648059993982315,0.4986724257469177,0.5626087188720703,48,0.4432050511240959,0.49592578411102295,0.5511642843484879,12,0.4126865342259407,0.45640431344509125,0.5058442950248718
VHM0_mean,m,direct,ordered_logit+kde,0.07446593446508405,1.4700633678954533,,,1.4700633678954533,,,1.4700633678954533,,,1.4700633678954533,,,47,1.1977419257164001,1.4342741966247559,2.0859375,24,1.1830242574214935,1.4978749752044678,1.942179411649704,12,1.2290252149105072,1.5643749833106995,2.179924249649048,48,1.206633061170578,1.6669710874557495,2.1538437008857727,12,1.2511592507362366,1.4572614431381226,2.0541078448295593
vo_mean,m/s,direct,ordered_logit+kde,0.05167939259402144,-0.05302485051015662,,,-0.05302485051015662,,,-0.05302485051015662,,,-0.05302485051015661,,,47,-0.13306070119142532,-0.04821924492716789,0.016174810007214546,24,-0.1419110670685768,-0.044862208887934685,0.030365916900336742,12,-0.1983703151345253,-0.07995849475264549,-0.021668141707777977,48,-0.14954069256782532,-0.06469924002885818,0.04547257907688618,12,-0.10467848740518093,-0.008850367739796638,0.05020294804126024
VTPK_mean,s,direct,ordered_logit+kde,0.03811824453751977,12.781045628828823,,,12.781045628828823,,,12.781045628828823,,,12.781045628828823,,,47,12.773231029510498,13.292902946472168,13.723519325256348,24,12.747420072555542,13.259023189544678,13.687028408050537,12,11.973941326141357,12.604090213775635,13.211896657943726,48,12.77413272857666,13.32230520248413,13.563455581665039,12,13.037358045578003,13.739229679107666,14.071573495864868
uo_mean,m/s,inverse,ordered_logit+kde,-0.0978680829074983,-0.047574458729712804,,,-0.047574458729712804,,,-0.047574458729712804,,,-0.047574458729712804,,,47,-0.08606219664216042,0.009765923023223877,0.19470809400081635,24,-0.15274513885378838,0.04028443247079849,0.21149327233433723,12,-0.034028138034045696,0.04119998775422573,0.1994384527206421,48,-0.1820429041981697,0.03784295171499252,0.17212438583374023,12,-0.20233771950006485,-0.053407395258545876,0.15671253949403763
