monsoon_year,Change_Class,driver,dominant_range,median_value,threshold_inferred_label,erosion_onset_threshold,accretion_onset_threshold
2013,erosion,VHM0_mean,1.222 to 1.942,1.4978749752044678,erosion,1.6713170102576176,1.6713170102576176
2013,erosion,VMDR_mean,185.162 to 204.920,198.186279296875,erosion,204.77135296335507,204.77135296335507
2013,erosion,VTPK_mean,12.520 to 13.200,12.814899444580078,stable,10.67938289767793,14.299232953639134
2013,erosion,eastward_wind_mean,0.368 to 4.673,1.9049999713897705,accretion,2.5050724220094587,2.5050724220094587
2013,erosion,northward_wind_mean,-0.173 to 0.903,0.5400000214576721,erosion,0.26214622119533293,0.26214622119533293
2013,erosion,uo_mean,-0.154 to 0.173,0.024109622463583946,erosion,-0.02280248406108948,-0.02280248406108948
2013,erosion,vo_mean,-0.131 to 0.029,-0.02868739888072014,accretion,-0.07440974000235263,-0.07440974000235263
2013,erosion,zos_mean,0.419 to 0.527,0.4672383666038513,erosion,0.5190036924927357,0.5190036924927357
2014,erosion,VHM0_mean,1.237 to 2.144,1.5835483074188232,accretion,1.6713170102576176,1.6713170102576176
2014,erosion,VMDR_mean,188.868 to 212.947,200.80235290527344,erosion,204.77135296335507,204.77135296335507
2014,erosion,VTPK_mean,12.504 to 13.485,12.744214057922363,stable,10.67938289767793,14.299232953639134
2014,erosion,eastward_wind_mean,0.450 to 5.067,3.114999771118164,accretion,2.5050724220094587,2.5050724220094587
2014,erosion,northward_wind_mean,-0.460 to 0.650,0.10000000149011612,accretion,0.26214622119533293,0.26214622119533293
2014,erosion,uo_mean,-0.172 to 0.264,0.10101626813411713,erosion,-0.02280248406108948,-0.02280248406108948
2014,erosion,vo_mean,-0.215 to 0.024,-0.06988738477230072,erosion,-0.07440974000235263,-0.07440974000235263
2014,erosion,zos_mean,0.385 to 0.533,0.45594650506973267,erosion,0.5190036924927357,0.5190036924927357
2015,accretion,VHM0_mean,1.251 to 2.054,1.4572614431381226,erosion,1.6713170102576176,1.6713170102576176
2015,accretion,VMDR_mean,188.785 to 215.498,201.41708374023438,erosion,204.77135296335507,204.77135296335507
2015,accretion,VTPK_mean,13.037 to 14.072,13.739229202270508,stable,10.67938289767793,14.299232953639134
2015,accretion,eastward_wind_mean,0.782 to 4.465,2.2350001335144043,accretion,2.5050724220094587,2.5050724220094587
2015,accretion,northward_wind_mean,-0.890 to 0.410,0.22500000894069672,accretion,0.26214622119533293,0.26214622119533293
2015,accretion,uo_mean,-0.202 to 0.157,-0.053407393395900726,accretion,-0.02280248406108948,-0.02280248406108948
2015,accretion,vo_mean,-0.105 to 0.050,-0.008850367739796638,accretion,-0.07440974000235263,-0.07440974000235263
2015,accretion,zos_mean,0.413 to 0.506,0.45640432834625244,erosion,0.5190036924927357,0.5190036924927357
2016,erosion,VHM0_mean,1.182 to 1.958,1.446563959121704,erosion,1.6713170102576176,1.6713170102576176
2016,erosion,VMDR_mean,182.842 to 205.258,193.7674560546875,erosion,204.77135296335507,204.77135296335507
2016,erosion,VTPK_mean,13.380 to 14.323,13.667943954467773,stable,10.67938289767793,14.299232953639134
2016,erosion,eastward_wind_mean,0.208 to 3.985,1.440000057220459,erosion,2.5050724220094587,2.5050724220094587
2016,erosion,northward_wind_mean,0.128 to 0.710,0.44999998807907104,erosion,0.26214622119533293,0.26214622119533293
2016,erosion,uo_mean,-0.123 to 0.259,0.04364147037267685,erosion,-0.02280248406108948,-0.02280248406108948
2016,erosion,vo_mean,-0.160 to 0.042,-0.05157627910375595,accretion,-0.07440974000235263,-0.07440974000235263
2016,erosion,zos_mean,0.455 to 0.512,0.4866176247596741,erosion,0.5190036924927357,0.5190036924927357
2017,accretion,VHM0_mean,1.188 to 2.199,1.6527984142303467,accretion,1.6713170102576176,1.6713170102576176
2017,accretion,VMDR_mean,190.728 to 220.743,203.2548828125,accretion,204.77135296335507,204.77135296335507
2017,accretion,VTPK_mean,13.228 to 14.062,13.446980476379395,stable,10.67938289767793,14.299232953639134
2017,accretion,eastward_wind_mean,0.440 to 5.530,2.615000009536743,accretion,2.5050724220094587,2.5050724220094587
2017,accretion,northward_wind_mean,-0.470 to 0.248,0.05000000447034836,accretion,0.26214622119533293,0.26214622119533293
2017,accretion,uo_mean,-0.167 to 0.179,0.005188144743442535,erosion,-0.02280248406108948,-0.02280248406108948
2017,accretion,vo_mean,-0.172 to 0.045,-0.041810356080532074,accretion,-0.07440974000235263,-0.07440974000235263
2017,accretion,zos_mean,0.440 to 0.547,0.5140842795372009,erosion,0.5190036924927357,0.5190036924927357
2018,accretion,VHM0_mean,1.322 to 2.167,1.6139225959777832,accretion,1.6713170102576176,1.6713170102576176
2018,accretion,VMDR_mean,196.413 to 209.230,205.55628967285156,erosion,204.77135296335507,204.77135296335507
2018,accretion,VTPK_mean,12.892 to 13.519,13.249540328979492,stable,10.67938289767793,14.299232953639134
2018,accretion,eastward_wind_mean,0.778 to 4.435,3.6050000190734863,accretion,2.5050724220094587,2.5050724220094587
2018,accretion,northward_wind_mean,-0.302 to 0.370,-0.019999999552965164,accretion,0.26214622119533293,0.26214622119533293
2018,accretion,uo_mean,-0.184 to 0.280,0.017700735479593277,erosion,-0.02280248406108948,-0.02280248406108948
2018,accretion,vo_mean,-0.201 to 0.053,-0.07324442267417908,accretion,-0.07440974000235263,-0.07440974000235263
2018,accretion,zos_mean,0.415 to 0.503,0.4742576479911804,erosion,0.5190036924927357,0.5190036924927357
2019,erosion,VHM0_mean,1.184 to 1.962,1.4539515972137451,erosion,1.6713170102576176,1.6713170102576176
2019,erosion,VMDR_mean,182.687 to 214.771,193.8474884033203,erosion,204.77135296335507,204.77135296335507
2019,erosion,VTPK_mean,12.941 to 13.472,13.349334716796875,stable,10.67938289767793,14.299232953639134
2019,erosion,eastward_wind_mean,0.525 to 4.275,1.524999976158142,erosion,2.5050724220094587,2.5050724220094587
2019,erosion,northward_wind_mean,-0.772 to 0.638,0.004999999888241291,accretion,0.26214622119533293,0.26214622119533293
2019,erosion,uo_mean,-0.076 to 0.168,0.012817773967981339,erosion,-0.02280248406108948,-0.02280248406108948
2019,erosion,vo_mean,-0.152 to 0.009,-0.05737479776144028,accretion,-0.07440974000235263,-0.07440974000235263
2019,erosion,zos_mean,0.396 to 0.514,0.4760887622833252,erosion,0.5190036924927357,0.5190036924927357
2020,erosion,VHM0_mean,1.176 to 1.961,1.5005948543548584,erosion,1.6713170102576176,1.6713170102576176
2020,erosion,VMDR_mean,178.131 to 200.341,182.99603271484375,erosion,204.77135296335507,204.77135296335507
2020,erosion,VTPK_mean,13.509 to 13.952,13.725658416748047,stable,10.67938289767793,14.299232953639134
2020,erosion,eastward_wind_mean,-0.060 to 3.940,1.0149999856948853,erosion,2.5050724220094587,2.5050724220094587
