horizon,target_date,wind_max_annual,wind_p90,wind_mean_annual,eastwind_mean_annual,northwind_mean_annual,ucurr_max_annual,ucurr_p90,ucurr_mean_annual,uo_mean_annual,vo_mean_annual,zos_max_annual,zos_mean_annual
H6,2024-08,5.689223882914755,5.671023915006553,4.466359445802394,3.1511866494772165,0.36917493390348705,0.26023573677218204,0.2593293189574126,0.1752913539247951,0.1274956818432289,-0.11902340536370226,0.5316756054320246,0.46180755288269787
H12,2025-02,5.689223882914755,5.637098918172199,3.8178007624979755,2.15277634978267,0.15602079641931207,0.26023573677218204,0.258225679730931,0.16244021641096804,0.028067343589128147,-0.06115407376086691,0.5706395023117281,0.4882698671687804
H18,2025-08,5.699343852785276,5.622857007594515,3.815254015233521,2.133042356149113,0.13750659730042802,0.25673923746234406,0.2547291804210931,0.16069196675604902,0.02806734358912813,-0.06115407376086692,0.5706395023117281,0.48967572798417
H24,2026-02,5.699343852785276,5.622857007594515,3.8154606792135013,2.1184688199791655,0.13543937292105487,0.25673923746234406,0.2547291804210931,0.15894371710113003,0.028067343589128147,-0.06115407376086691,0.5736396665157667,0.49117577124471645
