monsoon_year,year_month,VHM0_max,VHM0_mean,VHM0_std,VTPK_max,VTPK_mean,VMDR_mean,StokesDrift_max,StokesDrift_mean,CumWaveEnergy,StormDays_wave,WindSpeed_max,WindSpeed_mean,WindSpeed_std,EastWind_mean,NorthWind_mean,StormDays_wind,CurrentMag_max,CurrentMag_mean,UO_mean,VO_mean,ZOS_max,ZOS_mean
2010,2011-03,,,,,,,,,,,2.57,2.57,,1.18,-0.29,0,0.14298433,0.14298433,-0.14282662,-0.006714072,0.5056917,0.5056917
2011,2011-04,,,,,,,,,,,3.14,3.14,,2.43,0.33,0,0.07321644,0.07321644,0.03540147,-0.064088866,0.4858547,0.4858547
2011,2011-05,,,,,,,,,,,4.74,4.74,,4.41,0.86,0,0.25110632,0.25110632,0.20081179,-0.15076144,0.44923246,0.44923246
2011,2011-06,,,,,,,,,,,5.61,5.61,,5.41,0.01,0,0.27900395,0.27900395,0.20447402,-0.18982513,0.38453323,0.38453323
2011,2011-07,,,,,,,,,,,5.55,5.55,,5.35,0.09,0,0.27579683,0.27579683,0.20569475,-0.18372142,0.33906063,0.33906063
2011,2011-08,,,,,,,,,,,5.32,5.32,,5.01,0.72,0,0.20686777,0.20686777,0.17212439,-0.114749596,0.38026062,0.38026062
2011,2011-09,,,,,,,,,,,4.87,4.87,,4.69,0.75,0,0.31113917,0.31113917,0.2642903,-0.16418958,0.3598132,0.3598132
2011,2011-10,,,,,,,,,,,3.44,3.44,,2.27,0.31,0,0.04515502,0.04515502,0.044557024,-0.0073244423,0.43519396,0.43519396
2011,2011-11,,,,,,,,,,,2.65,2.65,,0.62,-0.15,0,0.155448,0.155448,-0.13367108,0.079348125,0.483108,0.483108
2011,2011-12,,,,,,,,,,,2.87,2.87,,0.67,-1.18,0,0.18207559,0.18207559,-0.17883846,-0.03418073,0.52705467,0.52705467
2011,2012-01,,,,,,,,,,,1.91,1.91,,0.45,0.15,0,0.2003809,0.2003809,-0.19287698,0.054322947,0.54994357,0.54994357
2011,2012-02,,,,,,,,,,,2.18,2.18,,0.12,0.52,0,0.38389567,0.38389567,-0.3558458,0.14404736,0.5249184,0.5249184
2011,2012-03,,,,,,,,,,,2.49,2.49,,0.59,0.27,0,0.19989227,0.19989227,-0.19287698,0.052491836,0.4647969,0.4647969
2012,2012-04,,,,,,,,,,,3.02,3.02,,2.04,0.72,0,0.08261446,0.08261446,0.06836146,-0.046388134,0.5264443,0.5264443
2012,2012-05,,,,,,,,,,,5.34,5.34,,5.13,0.88,0,0.2710298,0.2710298,0.20935698,-0.17212439,0.43275246,0.43275246
2012,2012-06,,,,,,,,,,,5.65,5.65,,5.35,1.05,0,0.20552081,0.20552081,0.16113773,-0.12756737,0.4199347,0.4199347
2012,2012-07,,,,,,,,,,,5.98,5.98,,5.76,-0.15,0,0.2635909,0.2635909,0.21790215,-0.14831996,0.4177984,0.4177984
2012,2012-08,,,,,,,,,,,4.9,4.9,,4.52,0.97,0,0.30145118,0.30145118,0.2661214,-0.14160588,0.38758507,0.38758507
2012,2012-09,,,,,,,,,,,4.69,4.69,,4.22,1.05,0,0.13809077,0.13809077,0.126957,-0.054322947,0.41688284,0.41688284
2012,2012-10,,,,,,,,,,,3.59,3.59,,1.77,0.86,0,0.035553735,0.035553735,-0.020142216,0.02929777,0.43366802,0.43366802
2012,2012-11,,,,,,,,,,,2.63,2.63,,0.84,-0.71,0,0.1539537,0.1539537,-0.1513718,0.028077029,0.5008087,0.5008087
2012,2012-12,,,,,,,,,,,2.36,2.36,,-0.55,-0.24,0,0.52421737,0.52421737,-0.48768577,0.19226661,0.5557421,0.5557421
2012,2013-01,,,,,,,,,,,2.53,2.53,,0.49,-0.41,0,0.16272977,0.16272977,-0.16235846,-0.010986663,0.50508136,0.50508136
2012,2013-02,,,,,,,,,,,2.15,2.15,,0.0,0.24,0,0.16738394,0.16738394,-0.16479996,0.02929777,0.5429243,0.5429243
2012,2013-03,,,,,,,,,,,2.07,2.07,,-0.77,0.36,0,0.13250095,0.13250095,-0.12817773,0.03357036,0.5304117,0.5304117
2013,2013-04,,,,,,,,,,,2.71,2.71,,2.03,0.1,0,0.034164377,0.034164377,0.022583697,-0.025635548,0.46327096,0.46327096
2013,2013-05,,,,,,,,,,,5.45,5.45,,5.09,0.72,0,0.3357308,0.3357308,0.2624592,-0.20935698,0.44862208,0.44862208
2013,2013-06,,,,,,,,,,,6.29,6.29,,6.13,-0.43,0,0.24896221,0.24896221,0.21118808,-0.13183996,0.44557023,0.44557023
2013,2013-07,,,,,,,,,,,5.58,5.58,,5.44,-0.22,0,0.41906255,0.41906255,0.32471693,-0.26490065,0.36164433,0.36164433
2013,2013-08,,,,,,,,,,,5.48,5.48,,5.06,-0.55,0,0.39129683,0.39129683,0.30030215,-0.25086215,0.29541916,0.29541916
2013,2013-09,,,,,,,,,,,5.22,5.22,,4.92,0.85,0,0.35273537,0.35273537,0.26734215,-0.23010956,0.35493025,0.35493025
2013,2013-10,,,,,,,,,,,4.54,4.54,,4.2,0.71,0,0.209146,0.209146,0.17944884,-0.10742515,0.3930784,0.3930784
2013,2013-11,,,,,,,,,,,2.64,2.64,,0.36,-0.95,0,0.35506815,0.35506815,-0.32288584,0.14770958,0.532548,0.532548
2013,2013-12,,,,,,,,,,,2.74,2.74,,1.02,-0.81,0,0.1703414,0.1703414,-0.16724142,-0.03234962,0.5349895,0.5349895
2013,2014-01,,,,,,,,,,,2.48,2.48,,0.48,0.1,0,0.24660315,0.24660315,-0.24231696,0.045777764,0.53956723,0.53956723
2013,2014-02,,,,,,,,,,,2.44,2.44,,-0.17,0.63,0,0.19668794,0.19668794,-0.1861629,0.0634785,0.50111395,0.50111395
2013,2014-03,,,,,,,,,,,2.65,2.65,,-0.61,0.48,0,0.09854218,0.09854218,-0.097048864,0.017090365,0.5417035,0.5417035
2014,2014-04,,,,,,,,,,,2.73,2.73,,1.58,0.33,0,0.041442294,0.041442294,0.028687399,-0.02990814,0.44526505,0.44526505
2014,2014-05,,,,,,,,,,,4.31,4.31,,3.75,1.21,0,0.13642833,0.13642833,0.09887997,-0.09399701,0.46754357,0.46754357
2014,2014-06,,,,,,,,,,,6.19,6.19,,5.93,-0.92,0,0.37028548,0.37028548,0.2826014,-0.23926511,0.43305764,0.43305764
2014,2014-07,,,,,,,,,,,6.32,6.32,,6.16,-0.88,0,0.3500381,0.3500381,0.24536881,-0.2496414,0.38575396,0.38575396
2014,2014-08,,,,,,,,,,,5.21,5.21,,4.96,0.3,0,0.22901249,0.22901249,0.18372142,-0.13672292,0.41444135,0.41444135
2014,2014-09,,,,,,,,,,,4.71,4.71,,4.3,1.07,0,0.17410535,0.17410535,0.14770958,-0.0921659,0.4074221,0.4074221
2014,2014-10,,,,,,,,,,,3.52,3.52,,2.89,-0.14,0,0.21523231,0.21523231,-0.20325327,0.07080294,0.40498063,0.40498063
2014,2014-11,,,,,,,,,,,3.44,3.44,,1.13,-1.16,0,0.15916507,0.15916507,-0.15869625,0.012207404,0.49623096,0.49623096
2014,2014-12,,,,,,,,,,,3.18,3.18,,0.64,-1.67,0,0.5357427,0.5357427,-0.51515245,0.14709921,0.49623096,0.49623096
2014,2015-01,,,,,,,,,,,2.04,2.04,,0.83,0.31,0,0.20329085,0.20329085,-0.20203254,0.022583697,0.5734428,0.5734428
2014,2015-02,,,,,,,,,,,2.04,2.04,,0.02,0.15,0,0.27343085,0.27343085,-0.2618488,0.07873775,0.5652028,0.5652028
2014,2015-03,,,,,,,,,,,2.52,2.52,,-1.0,0.65,0,0.14226341,0.14226341,-0.13550219,0.043336283,0.5346843,0.5346843
2015,2015-04,,,,,,,,,,,2.48,2.48,,0.5,0.56,0,0.04502282,0.04502282,0.012207404,-0.043336283,0.50447094,0.50447094
2015,2015-05,,,,,,,,,,,4.34,4.34,,3.88,1.24,0,0.18047255,0.18047255,0.13672292,-0.11780144,0.46113467,0.46113467
2015,2015-06,,,,,,,,,,,4.71,4.71,,4.3,0.58,0,0.26979536,0.26979536,0.22888882,-0.14282662,0.4892117,0.4892117
2015,2015-07,,,,,,,,,,,5.96,5.96,,5.82,-0.09,0,0.5000225,0.5000225,0.40162358,-0.29786065,0.38544878,0.38544878
2015,2015-08,,,,,,,,,,,5.33,5.33,,4.88,0.66,0,0.46494988,0.46494988,0.39185765,-0.25025177,0.3952147,0.3952147
2015,2015-09,,,,,,,,,,,4.48,4.48,,3.6,1.66,0,0.4083523,0.4083523,0.34913176,-0.21179846,0.43702507,0.43702507
2015,2015-10,,,,,,,,,,,3.16,3.16,,1.59,0.09,0,0.09599127,0.09599127,0.07507554,-0.05981628,0.48402357,0.48402357
2015,2015-11,,,,,,,,,,,3.06,3.06,,1.29,-0.64,0,0.05422685,0.05422685,-0.053102206,0.010986663,0.48402357,0.48402357
2015,2015-12,,,,,,,,,,,2.54,2.54,,-0.82,0.14,0,0.21319753,0.21319753,-0.20874661,0.043336283,0.49623096,0.49623096
