monsoon_year,Change_Class,driver,min_value,q25,median_value,q75,max_value,n_months,dominant_range,full_range
2013,eroded_low,VHM0_mean,1.108629,1.2221270203590393,1.497875,1.942179411649704,2.2570162,12,1.222 to 1.942,1.109 to 2.257
2013,eroded_low,VMDR_mean,172.48677,185.16231536865234,198.18628,204.92001342773438,228.90596,12,185.162 to 204.920,172.487 to 228.906
2013,eroded_low,VTPK_mean,11.690403,12.520211458206177,12.814899,13.200430870056152,13.7115,12,12.520 to 13.200,11.690 to 13.712
2013,eroded_low,eastward_wind_mean,-0.77,0.3675000071525574,1.905,4.672500014305115,5.76,12,0.368 to 4.673,-0.770 to 5.760
2013,eroded_low,northward_wind_mean,-0.71,-0.17250000312924385,0.54,0.9025000035762787,1.05,12,-0.173 to 0.903,-0.710 to 1.050
2013,eroded_low,uo_mean,-0.48768577,-0.15411847084760666,0.024109622,0.17319254204630852,0.2661214,12,-0.154 to 0.173,-0.488 to 0.266
2013,eroded_low,vo_mean,-0.17212439,-0.13107699528336525,-0.028687399,0.02929776906967163,0.19226661,12,-0.131 to 0.029,-0.172 to 0.192
2013,eroded_low,zos_mean,0.38758507,0.419400617480278,0.46723837,0.5274361670017242,0.5557421,12,0.419 to 0.527,0.388 to 0.556
2014,eroded_high,VHM0_mean,1.1557589,1.2365665137767792,1.5835483,2.1437198519706726,2.4196668,12,1.237 to 2.144,1.156 to 2.420
2014,eroded_high,VMDR_mean,171.00928,188.86790084838867,200.80235,212.94665145874023,235.77316,12,188.868 to 212.947,171.009 to 235.773
2014,eroded_high,VTPK_mean,11.895363,12.504364728927612,12.744214,13.48542594909668,14.293024,12,12.504 to 13.485,11.895 to 14.293
2014,eroded_high,eastward_wind_mean,-0.61,0.44999999552965164,3.1149998,5.067499995231628,6.13,12,0.450 to 5.067,-0.610 to 6.130
2014,eroded_high,northward_wind_mean,-0.95,-0.46000000834465027,0.1,0.6499999910593033,0.85,12,-0.460 to 0.650,-0.950 to 0.850
2014,eroded_high,uo_mean,-0.32288584,-0.17197179421782494,0.10101627,0.2636799290776253,0.32471693,12,-0.172 to 0.264,-0.323 to 0.325
2014,eroded_high,vo_mean,-0.26490065,-0.2145451232790947,-0.069887385,0.02426221501082182,0.14770958,12,-0.215 to 0.024,-0.265 to 0.148
2014,eroded_high,zos_mean,0.29541916,0.38521987199783325,0.4559465,0.5331583768129349,0.5417035,12,0.385 to 0.533,0.295 to 0.542
2015,accreted_high,VHM0_mean,1.1666964,1.2511592507362366,1.4572614,2.0541078448295593,2.4977016,12,1.251 to 2.054,1.167 to 2.498
2015,accreted_high,VMDR_mean,177.61235,188.78461456298828,201.41708,215.49842834472656,231.53384,12,188.785 to 215.498,177.612 to 231.534
2015,accreted_high,VTPK_mean,11.732338,13.037358045578003,13.739229,14.071573495864868,14.428185,12,13.037 to 14.072,11.732 to 14.428
2015,accreted_high,eastward_wind_mean,-1.0,0.7824999839067459,2.2350001,4.465000152587891,6.16,12,0.782 to 4.465,-1.000 to 6.160
2015,accreted_high,northward_wind_mean,-1.67,-0.8900000005960464,0.22500001,0.4100000038743019,1.21,12,-0.890 to 0.410,-1.670 to 1.210
2015,accreted_high,uo_mean,-0.51515245,-0.20233771950006485,-0.053407393,0.15671253949403763,0.2826014,12,-0.202 to 0.157,-0.515 to 0.283
2015,accreted_high,vo_mean,-0.2496414,-0.10467848740518093,-0.008850368,0.05020294804126024,0.14709921,12,-0.105 to 0.050,-0.250 to 0.147
2015,accreted_high,zos_mean,0.38575396,0.4126865342259407,0.45640433,0.5058442950248718,0.5734428,12,0.413 to 0.506,0.386 to 0.573
2016,eroded_low,VHM0_mean,1.0975807,1.1820408701896667,1.446564,1.9576098918914795,2.1689918,12,1.182 to 1.958,1.098 to 2.169
2016,eroded_low,VMDR_mean,179.69029,182.8423728942871,193.76746,205.25820922851562,223.00528,12,182.842 to 205.258,179.690 to 223.005
2016,eroded_low,VTPK_mean,11.830443,13.380050897598267,13.667944,14.323282957077026,14.702167,12,13.380 to 14.323,11.830 to 14.702
2016,eroded_low,eastward_wind_mean,-0.82,0.20750001072883606,1.44,3.9850001335144043,5.82,12,0.208 to 3.985,-0.820 to 5.820
2016,eroded_low,northward_wind_mean,-0.64,0.1275000013411045,0.45,0.7100000232458115,1.66,12,0.128 to 0.710,-0.640 to 1.660
2016,eroded_low,uo_mean,-0.20874661,-0.12344736978411674,0.04364147,0.25894955918192863,0.40162358,12,-0.123 to 0.259,-0.209 to 0.402
2016,eroded_low,vo_mean,-0.29786065,-0.16006957739591599,-0.05157628,0.041962950490415096,0.051881466,12,-0.160 to 0.042,-0.298 to 0.052
2016,eroded_low,zos_mean,0.38544878,0.45510727167129517,0.48661762,0.5124820619821548,0.57222205,12,0.455 to 0.512,0.385 to 0.572
2017,accreted_low,VHM0_mean,1.1389285,1.188266098499298,1.6527984,2.198979914188385,2.4633067,12,1.188 to 2.199,1.139 to 2.463
2017,accreted_low,VMDR_mean,174.3547,190.7276611328125,203.25488,220.74291229248047,228.88849,12,190.728 to 220.743,174.355 to 228.888
2017,accreted_low,VTPK_mean,12.25629,13.22822618484497,13.44698,14.061522483825684,14.807792,12,13.228 to 14.062,12.256 to 14.808
2017,accreted_low,eastward_wind_mean,-0.25,0.439999982714653,2.615,5.529999852180481,6.24,12,0.440 to 5.530,-0.250 to 6.240
2017,accreted_low,northward_wind_mean,-0.75,-0.4700000062584877,0.050000004,0.2475000023841858,1.46,12,-0.470 to 0.248,-0.750 to 1.460
2017,accreted_low,uo_mean,-0.25513473,-0.1672414354979992,0.0051881447,0.17929623648524284,0.32410657,12,-0.167 to 0.179,-0.255 to 0.324
2017,accreted_low,vo_mean,-0.28321177,-0.17151402309536934,-0.041810356,0.04547257907688618,0.09155553,12,-0.172 to 0.045,-0.283 to 0.092
2017,accreted_low,zos_mean,0.36988434,0.44038208574056625,0.5140843,0.547120600938797,0.5691702,12,0.440 to 0.547,0.370 to 0.569
2018,accreted_low,VHM0_mean,1.1254839,1.3223390579223633,1.6139226,2.1669053435325623,2.4162095,12,1.322 to 2.167,1.125 to 2.416
2018,accreted_low,VMDR_mean,173.61653,196.41302490234375,205.55629,209.23049926757812,222.16206,12,196.413 to 209.230,173.617 to 222.162
2018,accreted_low,VTPK_mean,12.159234,12.89167308807373,13.24954,13.519332885742188,13.72758,12,12.892 to 13.519,12.159 to 13.728
2018,accreted_low,eastward_wind_mean,-0.4,0.7775000035762787,3.605,4.4349998235702515,5.68,12,0.778 to 4.435,-0.400 to 5.680
2018,accreted_low,northward_wind_mean,-0.89,-0.30249999463558197,-0.02,0.3700000047683716,0.95,12,-0.302 to 0.370,-0.890 to 0.950
2018,accreted_low,uo_mean,-0.31189916,-0.18433178961277008,0.017700735,0.28015992790460587,0.34852138,12,-0.184 to 0.280,-0.312 to 0.349
2018,accreted_low,vo_mean,-0.28138065,-0.20096438378095627,-0.07324442,0.05310220643877983,0.17029329,12,-0.201 to 0.053,-0.281 to 0.170
2018,accreted_low,zos_mean,0.35096285,0.41543321311473846,0.47425765,0.5027924552559853,0.5529954,12,0.415 to 0.503,0.351 to 0.553
2019,eroded_high,VHM0_mean,1.1257257,1.1840312778949738,1.4539516,1.9620789289474487,2.5310888,12,1.184 to 1.962,1.126 to 2.531
2019,eroded_high,VMDR_mean,173.5996,182.6872787475586,193.84749,214.77111434936523,224.02353,12,182.687 to 214.771,173.600 to 224.024
2019,eroded_high,VTPK_mean,11.530583,12.941280603408813,13.349335,13.471915483474731,14.558669,12,12.941 to 13.472,11.531 to 14.559
2019,eroded_high,eastward_wind_mean,-0.43,0.5249999910593033,1.525,4.274999916553497,5.67,12,0.525 to 4.275,-0.430 to 5.670
2019,eroded_high,northward_wind_mean,-1.03,-0.7724999785423279,0.005,0.6375000029802322,1.37,12,-0.772 to 0.638,-1.030 to 1.370
2019,eroded_high,uo_mean,-0.4852443,-0.07614367827773094,0.012817774,0.16800439730286598,0.3540147,12,-0.076 to 0.168,-0.485 to 0.354
2019,eroded_high,vo_mean,-0.27161473,-0.151676993817091,-0.057374798,0.008850367739796638,0.18372142,12,-0.152 to 0.009,-0.272 to 0.184
2019,eroded_high,zos_mean,0.33478805,0.3960539549589157,0.47608876,0.5140080004930496,0.5706961,12,0.396 to 0.514,0.335 to 0.571
2020,eroded_high,VHM0_mean,1.0027016,1.1764818727970123,1.5005949,1.9614294171333313,2.3873334,12,1.176 to 1.961,1.003 to 2.387
2020,eroded_high,VMDR_mean,169.9544,178.13087844848633,182.99603,200.34120178222656,212.08884,12,178.131 to 200.341,169.954 to 212.089
2020,eroded_high,VTPK_mean,12.848708,13.50927472114563,13.725658,13.951766967773438,14.8550415,12,13.509 to 13.952,12.849 to 14.855
2020,eroded_high,eastward_wind_mean,-0.78,-0.05999999865889549,1.015,3.9399999380111694,5.26,12,-0.060 to 3.940,-0.780 to 5.260
2020,eroded_high,northward_wind_mean,-0.24,0.39000000804662704,0.765,1.2074999809265137,1.55,12,0.390 to 1.207,-0.240 to 1.550
2020,eroded_high,uo_mean,-0.22461623,-0.024567400105297565,0.0024414808,0.13809625804424286,0.39368877,12,-0.025 to 0.138,-0.225 to 0.394
