feature,boundary,end_year,decimal_year,threshold,direction_to_accretion
wind_speed_max__p50,erosion_onset,2020,2020.5,4.221425101459026,direct
wind_speed_max__p50,accretion_onset,2020,2020.5,2.7921649407744407,direct
wind_speed_max__p50,severe_erosion,2021,2021.5,4.795999908447266,direct
wind_speed_max__p50,erosion_onset,2021,2021.5,4.008219922065735,direct
wind_speed_max__p50,accretion_onset,2021,2021.5,3.5216499304771425,direct
wind_speed_max__p50,severe_erosion,2022,2022.5,4.795999908447266,direct
wind_speed_max__p50,erosion_onset,2022,2022.5,3.7128024271726607,direct
wind_speed_max__p50,accretion_onset,2022,2022.5,3.961879922866822,direct
wind_speed_max__p50,severe_erosion,2023,2023.5,2.674040109634399,direct
wind_speed_max__p50,erosion_onset,2023,2023.5,3.6695275009870527,direct
wind_speed_max__p50,accretion_onset,2023,2023.5,3.964962468743324,direct
wind_speed_mean__p50,severe_erosion,2019,2019.5,2.5639999151229858,direct
wind_speed_mean__p50,severe_erosion,2020,2020.5,2.594134918510914,direct
wind_speed_mean__p50,erosion_onset,2020,2020.5,4.221425101459026,direct
wind_speed_mean__p50,accretion_onset,2020,2020.5,2.7921649407744407,direct
wind_speed_mean__p50,severe_erosion,2021,2021.5,4.795999908447266,direct
wind_speed_mean__p50,erosion_onset,2021,2021.5,4.008219922065735,direct
wind_speed_mean__p50,accretion_onset,2021,2021.5,3.5216499304771425,direct
wind_speed_mean__p50,severe_erosion,2022,2022.5,4.795999908447266,direct
wind_speed_mean__p50,erosion_onset,2022,2022.5,3.7128024271726607,direct
wind_speed_mean__p50,accretion_onset,2022,2022.5,3.961879922866822,direct
wind_speed_mean__p50,severe_erosion,2023,2023.5,2.674040109634399,direct
wind_speed_mean__p50,erosion_onset,2023,2023.5,3.6695275009870527,direct
wind_speed_mean__p50,accretion_onset,2023,2023.5,3.964962468743324,direct
VHM0_mean__anom_mean,severe_erosion,2019,2019.5,-0.8697263843711673,direct
VHM0_mean__anom_mean,severe_erosion,2020,2020.5,-0.8697263843711673,direct
VHM0_mean__anom_mean,erosion_onset,2020,2020.5,0.8861483523821381,direct
VHM0_mean__anom_mean,accretion_onset,2020,2020.5,-0.43075770018284093,direct
VHM0_mean__anom_mean,severe_erosion,2021,2021.5,-0.8214398291104514,direct
VHM0_mean__anom_mean,erosion_onset,2021,2021.5,0.1925778313645825,direct
VHM0_mean__anom_mean,accretion_onset,2021,2021.5,0.2715921945184814,direct
VHM0_mean__anom_mean,severe_erosion,2022,2022.5,-0.7731532738497355,direct
VHM0_mean__anom_mean,erosion_onset,2022,2022.5,0.038938791898668335,direct
VHM0_mean__anom_mean,accretion_onset,2022,2022.5,0.41206217345874574,direct
VHM0_mean__anom_mean,severe_erosion,2023,2023.5,-0.6311641394570463,direct
VHM0_mean__anom_mean,erosion_onset,2023,2023.5,0.03439987751900375,direct
VHM0_mean__anom_mean,accretion_onset,2023,2023.5,0.41244023916140016,direct
zos_mean__anom_peak_neg,severe_erosion,2019,2019.5,-2.2215125377220892,direct
zos_mean__anom_peak_neg,severe_erosion,2020,2020.5,-2.5388388669837334,direct
zos_mean__anom_peak_neg,erosion_onset,2020,2020.5,-0.06299177708162507,direct
zos_mean__anom_peak_neg,accretion_onset,2020,2020.5,-2.5388388669837334,direct
zos_mean__anom_peak_neg,severe_erosion,2021,2021.5,0.48019119020356765,direct
zos_mean__anom_peak_neg,erosion_onset,2021,2021.5,0.48019119020356765,direct
zos_mean__anom_peak_neg,accretion_onset,2021,2021.5,-1.805335815321535,direct
zos_mean__anom_peak_neg,severe_erosion,2022,2022.5,0.48019119020356765,direct
zos_mean__anom_peak_neg,erosion_onset,2022,2022.5,-0.2971989477301409,direct
zos_mean__anom_peak_neg,accretion_onset,2022,2022.5,-0.6625723125589835,direct
zos_mean__anom_peak_neg,severe_erosion,2023,2023.5,-2.3028655035991084,direct
zos_mean__anom_peak_neg,erosion_onset,2023,2023.5,-0.35939015876483715,direct
zos_mean__anom_peak_neg,accretion_onset,2023,2023.5,-0.6392506084209724,direct
northward_wind_max__anom_pos_months,severe_erosion,2021,2021.5,6.9545,inverse
northward_wind_max__anom_pos_months,erosion_onset,2021,2021.5,0.4865000000000004,inverse
northward_wind_max__anom_pos_months,accretion_onset,2021,2021.5,1.7359999999999998,inverse
northward_wind_max__anom_pos_months,severe_erosion,2022,2022.5,6.9055,inverse
northward_wind_max__anom_pos_months,erosion_onset,2022,2022.5,1.4420000000000002,inverse
northward_wind_max__anom_pos_months,accretion_onset,2022,2022.5,0.4375,inverse
northward_wind_max__anom_pos_months,severe_erosion,2023,2023.5,5.141500000000001,inverse
northward_wind_max__anom_pos_months,erosion_onset,2023,2023.5,1.3929999999999998,inverse
northward_wind_max__anom_pos_months,accretion_onset,2023,2023.5,0.4375,inverse
northward_wind_mean__anom_pos_months,severe_erosion,2021,2021.5,6.9545,inverse
northward_wind_mean__anom_pos_months,erosion_onset,2021,2021.5,0.4865000000000004,inverse
northward_wind_mean__anom_pos_months,accretion_onset,2021,2021.5,1.7359999999999998,inverse
northward_wind_mean__anom_pos_months,severe_erosion,2022,2022.5,6.9055,inverse
northward_wind_mean__anom_pos_months,erosion_onset,2022,2022.5,1.4420000000000002,inverse
northward_wind_mean__anom_pos_months,accretion_onset,2022,2022.5,0.4375,inverse
northward_wind_mean__anom_pos_months,severe_erosion,2023,2023.5,5.141500000000001,inverse
northward_wind_mean__anom_pos_months,erosion_onset,2023,2023.5,1.3929999999999998,inverse
northward_wind_mean__anom_pos_months,accretion_onset,2023,2023.5,0.4375,inverse
eastward_wind_mean__p10,severe_erosion,2019,2019.5,-0.7841724804788828,direct
eastward_wind_mean__p10,severe_erosion,2020,2020.5,-0.7720239807367324,direct
eastward_wind_mean__p10,erosion_onset,2020,2020.5,0.11076700052618982,direct
eastward_wind_mean__p10,accretion_onset,2020,2020.5,-0.3144304904490709,direct
eastward_wind_mean__p10,severe_erosion,2021,2021.5,-0.8408654792755841,direct
eastward_wind_mean__p10,erosion_onset,2021,2021.5,-0.03096549646556379,direct
eastward_wind_mean__p10,accretion_onset,2021,2021.5,0.029777002245187756,direct
eastward_wind_mean__p10,severe_erosion,2022,2022.5,-0.8206179797053337,direct
eastward_wind_mean__p10,erosion_onset,2022,2022.5,-0.12815349440276624,direct
eastward_wind_mean__p10,accretion_onset,2022,2022.5,0.18365799897909163,direct
eastward_wind_mean__p10,severe_erosion,2023,2023.5,-0.6262419838309288,direct
eastward_wind_mean__p10,erosion_onset,2023,2023.5,-0.08765849526226521,direct
eastward_wind_mean__p10,accretion_onset,2023,2023.5,0.18365799897909163,direct
