id,SCE,SCE_highest_unc,SCE_trend,SCE_closest_year,SCE_farthest_year,NSM,NSM_highest_unc,NSM_trend,EPR,EPR_unc,EPR_trend
116,15.65,2,accreting,2015,2014,-15.65,2,eroding,-23.72,4.29,eroding
117,15.25,2,accreting,2015,2014,-15.25,2,eroding,-23.11,4.29,eroding
118,14.24,2,accreting,2015,2014,-14.24,2,eroding,-21.58,4.29,eroding
119,13.55,2,accreting,2015,2014,-13.55,2,eroding,-20.53,4.29,eroding
120,13.17,2,accreting,2015,2014,-13.17,2,eroding,-19.95,4.29,eroding
121,12.99,2,accreting,2015,2014,-12.99,2,eroding,-19.69,4.29,eroding
122,12.59,2,accreting,2015,2014,-12.59,2,eroding,-19.08,4.29,eroding
123,12.08,2,accreting,2015,2014,-12.08,2,eroding,-18.31,4.29,eroding
124,10.78,2,accreting,2015,2014,-10.78,2,eroding,-16.33,4.29,eroding
125,9.21,2,accreting,2015,2014,-9.21,2,eroding,-13.96,4.29,eroding
126,7.79,2,accreting,2015,2014,-7.79,2,eroding,-11.81,4.29,eroding
127,7.86,2,accreting,2015,2014,-7.86,2,eroding,-11.91,4.29,eroding
128,9.52,2,accreting,2015,2014,-9.52,2,eroding,-14.42,4.29,eroding
129,10.16,2,accreting,2015,2014,-10.16,2,eroding,-15.39,4.29,eroding
130,9.68,2,accreting,2015,2014,-9.68,2,eroding,-14.67,4.29,eroding
131,9.44,2,accreting,2015,2014,-9.44,2,eroding,-14.3,4.29,eroding
132,8.86,2,accreting,2015,2014,-8.86,2,eroding,-13.43,4.29,eroding
133,8.76,2,accreting,2015,2014,-8.76,2,eroding,-13.27,4.29,eroding
134,8.72,2,accreting,2015,2014,-8.72,2,eroding,-13.21,4.29,eroding
135,9.34,2,accreting,2015,2014,-9.34,2,eroding,-14.15,4.29,eroding
136,9.91,2,accreting,2015,2014,-9.91,2,eroding,-15.01,4.29,eroding
137,8.93,2,accreting,2015,2014,-8.93,2,eroding,-13.54,4.29,eroding
138,7.55,2,accreting,2015,2014,-7.55,2,eroding,-11.43,4.29,eroding
139,6.13,2,accreting,2015,2014,-6.13,2,eroding,-9.28,4.29,eroding
140,4.73,2,accreting,2015,2014,-4.73,2,eroding,-7.16,4.29,eroding
141,3.4,2,accreting,2015,2014,-3.4,2,eroding,-5.15,4.29,eroding
142,2.09,2,accreting,2015,2014,-2.09,2,eroding,-3.17,4.29,stable
143,1.01,2,stable,2015,2014,-1.01,2,stable,-1.53,4.29,stable
144,0.83,2,stable,2015,2014,-0.83,2,stable,-1.26,4.29,stable
145,1.25,2,stable,2015,2014,-1.25,2,stable,-1.89,4.29,stable
146,1.31,2,stable,2015,2014,-1.31,2,stable,-1.98,4.29,stable
147,0.39,2,stable,2015,2014,-0.39,2,stable,-0.6,4.29,stable
148,1.04,2,stable,2014,2015,1.04,2,stable,1.57,4.29,stable
149,2.08,2,accreting,2014,2015,2.08,2,accreting,3.15,4.29,stable
150,1.95,2,stable,2014,2015,1.95,2,stable,2.95,4.29,stable
151,1.96,2,stable,2014,2015,1.96,2,stable,2.97,4.29,stable
152,2.62,2,accreting,2014,2015,2.62,2,accreting,3.97,4.29,stable
153,2.87,2,accreting,2014,2015,2.87,2,accreting,4.35,4.29,accreting
154,2.26,2,accreting,2014,2015,2.26,2,accreting,3.42,4.29,stable
155,3.22,2,accreting,2014,2015,3.22,2,accreting,4.88,4.29,accreting
156,3.59,2,accreting,2014,2015,3.59,2,accreting,5.43,4.29,accreting
157,3.71,2,accreting,2014,2015,3.71,2,accreting,5.63,4.29,accreting
158,4.75,2,accreting,2014,2015,4.75,2,accreting,7.2,4.29,accreting
159,6.23,2,accreting,2014,2015,6.23,2,accreting,9.44,4.29,accreting
160,7.77,2,accreting,2014,2015,7.77,2,accreting,11.77,4.29,accreting
161,8.03,2,accreting,2014,2015,8.03,2,accreting,12.16,4.29,accreting
162,6.74,2,accreting,2014,2015,6.74,2,accreting,10.22,4.29,accreting
163,5.57,2,accreting,2014,2015,5.57,2,accreting,8.44,4.29,accreting
164,4.49,2,accreting,2014,2015,4.49,2,accreting,6.81,4.29,accreting
