id,SCE,SCE_highest_unc,SCE_trend,SCE_closest_year,SCE_farthest_year,NSM,NSM_highest_unc,NSM_trend,EPR,EPR_unc,EPR_trend
1,3.47,2,accreting,2024,2023,-3.47,2,eroding,-3.21,2.62,eroding
2,3.9,2,accreting,2024,2023,-3.9,2,eroding,-3.61,2.62,eroding
3,4.37,2,accreting,2024,2023,-4.37,2,eroding,-4.05,2.62,eroding
4,4.24,2,accreting,2024,2023,-4.24,2,eroding,-3.92,2.62,eroding
5,5.64,2,accreting,2024,2023,-5.64,2,eroding,-5.22,2.62,eroding
6,7.57,2,accreting,2024,2023,-7.57,2,eroding,-7.01,2.62,eroding
7,8.52,2,accreting,2024,2023,-8.52,2,eroding,-7.89,2.62,eroding
8,8.14,2,accreting,2024,2023,-8.14,2,eroding,-7.54,2.62,eroding
9,10.8,2,accreting,2024,2023,-10.8,2,eroding,-10,2.62,eroding
10,11.47,2,accreting,2024,2023,-11.47,2,eroding,-10.62,2.62,eroding
11,10.03,2,accreting,2024,2023,-10.03,2,eroding,-9.29,2.62,eroding
12,11.56,2,accreting,2024,2023,-11.56,2,eroding,-10.71,2.62,eroding
13,9.52,2,accreting,2024,2023,-9.52,2,eroding,-8.82,2.62,eroding
14,8.22,2,accreting,2024,2023,-8.22,2,eroding,-7.61,2.62,eroding
15,7.8,2,accreting,2024,2023,-7.8,2,eroding,-7.22,2.62,eroding
16,5.89,2,accreting,2024,2023,-5.89,2,eroding,-5.46,2.62,eroding
17,6.15,2,accreting,2024,2023,-6.15,2,eroding,-5.69,2.62,eroding
18,5.11,2,accreting,2024,2023,-5.11,2,eroding,-4.73,2.62,eroding
19,5.21,2,accreting,2024,2023,-5.21,2,eroding,-4.83,2.62,eroding
20,4.61,2,accreting,2024,2023,-4.61,2,eroding,-4.27,2.62,eroding
21,4.85,2,accreting,2024,2023,-4.85,2,eroding,-4.49,2.62,eroding
22,4.56,2,accreting,2024,2023,-4.56,2,eroding,-4.23,2.62,eroding
23,6.77,2,accreting,2024,2023,-6.77,2,eroding,-6.27,2.62,eroding
24,8.49,2,accreting,2024,2023,-8.49,2,eroding,-7.86,2.62,eroding
25,11.37,2,accreting,2024,2023,-11.37,2,eroding,-10.53,2.62,eroding
26,11.26,2,accreting,2024,2023,-11.26,2,eroding,-10.42,2.62,eroding
27,11.41,2,accreting,2024,2023,-11.41,2,eroding,-10.57,2.62,eroding
28,10.02,2,accreting,2024,2023,-10.02,2,eroding,-9.27,2.62,eroding
29,8.86,2,accreting,2024,2023,-8.86,2,eroding,-8.2,2.62,eroding
30,8.41,2,accreting,2024,2023,-8.41,2,eroding,-7.79,2.62,eroding
31,8.43,2,accreting,2024,2023,-8.43,2,eroding,-7.81,2.62,eroding
32,7.04,2,accreting,2024,2023,-7.04,2,eroding,-6.52,2.62,eroding
33,4.83,2,accreting,2024,2023,-4.83,2,eroding,-4.47,2.62,eroding
34,0.69,2,stable,2024,2023,-0.69,2,stable,-0.64,2.62,stable
35,0.11,2,stable,2024,2023,-0.11,2,stable,-0.11,2.62,stable
36,0.2,2,stable,2024,2023,-0.2,2,stable,-0.19,2.62,stable
37,1.49,2,stable,2023,2024,1.49,2,stable,1.38,2.62,stable
38,1.57,2,stable,2024,2023,-1.57,2,stable,-1.45,2.62,stable
39,1.72,2,stable,2024,2023,-1.72,2,stable,-1.6,2.62,stable
40,1.07,2,stable,2024,2023,-1.07,2,stable,-0.99,2.62,stable
41,3.3,2,accreting,2024,2023,-3.3,2,eroding,-3.05,2.62,eroding
42,3.76,2,accreting,2024,2023,-3.76,2,eroding,-3.48,2.62,eroding
43,3.47,2,accreting,2024,2023,-3.47,2,eroding,-3.21,2.62,eroding
44,4.5,2,accreting,2024,2023,-4.5,2,eroding,-4.17,2.62,eroding
45,4.91,2,accreting,2024,2023,-4.91,2,eroding,-4.54,2.62,eroding
46,3.52,2,accreting,2024,2023,-3.52,2,eroding,-3.26,2.62,eroding
47,3.62,2,accreting,2024,2023,-3.62,2,eroding,-3.35,2.62,eroding
48,4.5,2,accreting,2024,2023,-4.5,2,eroding,-4.17,2.62,eroding
49,4.31,2,accreting,2024,2023,-4.31,2,eroding,-3.99,2.62,eroding
50,4.15,2,accreting,2024,2023,-4.15,2,eroding,-3.84,2.62,eroding
51,5.05,2,accreting,2024,2023,-5.05,2,eroding,-4.68,2.62,eroding
52,6.18,2,accreting,2024,2023,-6.18,2,eroding,-5.73,2.62,eroding
53,3.74,2,accreting,2024,2023,-3.74,2,eroding,-3.47,2.62,eroding
54,7.16,2,accreting,2024,2023,-7.16,2,eroding,-6.63,2.62,eroding
55,6.77,2,accreting,2024,2023,-6.77,2,eroding,-6.27,2.62,eroding
56,5.98,2,accreting,2024,2023,-5.98,2,eroding,-5.54,2.62,eroding
57,6.05,2,accreting,2024,2023,-6.05,2,eroding,-5.61,2.62,eroding
58,3.03,2,accreting,2024,2023,-3.03,2,eroding,-2.8,2.62,eroding
59,1.6,2,stable,2024,2023,-1.6,2,stable,-1.48,2.62,stable
60,3.6,2,accreting,2023,2024,3.6,2,accreting,3.33,2.62,accreting
61,7.43,2,accreting,2023,2024,7.43,2,accreting,6.88,2.62,accreting
62,8.92,2,accreting,2023,2024,8.92,2,accreting,8.26,2.62,accreting
63,8.06,2,accreting,2023,2024,8.06,2,accreting,7.46,2.62,accreting
64,7.32,2,accreting,2023,2024,7.32,2,accreting,6.77,2.62,accreting
65,7.13,2,accreting,2023,2024,7.13,2,accreting,6.6,2.62,accreting
66,9.33,2,accreting,2023,2024,9.33,2,accreting,8.64,2.62,accreting
67,11.21,2,accreting,2023,2024,11.21,2,accreting,10.38,2.62,accreting
68,13.65,2,accreting,2023,2024,13.65,2,accreting,12.64,2.62,accreting
69,13.13,2,accreting,2023,2024,13.13,2,accreting,12.16,2.62,accreting
70,13.06,2,accreting,2023,2024,13.06,2,accreting,12.09,2.62,accreting
71,12.3,2,accreting,2023,2024,12.3,2,accreting,11.39,2.62,accreting
72,11.15,2,accreting,2023,2024,11.15,2,accreting,10.32,2.62,accreting
73,10.93,2,accreting,2023,2024,10.93,2,accreting,10.12,2.62,accreting
74,12.89,2,accreting,2023,2024,12.89,2,accreting,11.94,2.62,accreting
75,13.15,2,accreting,2023,2024,13.15,2,accreting,12.18,2.62,accreting
76,13.41,2,accreting,2023,2024,13.41,2,accreting,12.42,2.62,accreting
77,13.04,2,accreting,2023,2024,13.04,2,accreting,12.08,2.62,accreting
78,11.98,2,accreting,2023,2024,11.98,2,accreting,11.09,2.62,accreting
79,9.53,2,accreting,2023,2024,9.53,2,accreting,8.82,2.62,accreting
80,8.25,2,accreting,2023,2024,8.25,2,accreting,7.64,2.62,accreting
81,8.39,2,accreting,2023,2024,8.39,2,accreting,7.77,2.62,accreting
82,9.3,2,accreting,2023,2024,9.3,2,accreting,8.61,2.62,accreting
83,9.46,2,accreting,2023,2024,9.46,2,accreting,8.76,2.62,accreting
84,6.24,2,accreting,2023,2024,6.24,2,accreting,5.77,2.62,accreting
85,8.95,2,accreting,2023,2024,8.95,2,accreting,8.29,2.62,accreting
86,10.99,2,accreting,2023,2024,10.99,2,accreting,10.17,2.62,accreting
87,12.2,2,accreting,2023,2024,12.2,2,accreting,11.29,2.62,accreting
88,11.33,2,accreting,2023,2024,11.33,2,accreting,10.49,2.62,accreting
89,11.45,2,accreting,2023,2024,11.45,2,accreting,10.61,2.62,accreting
90,11.1,2,accreting,2023,2024,11.1,2,accreting,10.28,2.62,accreting
91,14.25,2,accreting,2023,2024,14.25,2,accreting,13.2,2.62,accreting
92,14.51,2,accreting,2023,2024,14.51,2,accreting,13.44,2.62,accreting
93,14.7,2,accreting,2023,2024,14.7,2,accreting,13.62,2.62,accreting
94,13.98,2,accreting,2023,2024,13.98,2,accreting,12.95,2.62,accreting
95,14.69,2,accreting,2023,2024,14.69,2,accreting,13.6,2.62,accreting
96,13.57,2,accreting,2023,2024,13.57,2,accreting,12.57,2.62,accreting
97,14.25,2,accreting,2023,2024,14.25,2,accreting,13.19,2.62,accreting
98,14.38,2,accreting,2023,2024,14.38,2,accreting,13.32,2.62,accreting
99,15.77,2,accreting,2023,2024,15.77,2,accreting,14.6,2.62,accreting
100,16.78,2,accreting,2023,2024,16.78,2,accreting,15.54,2.62,accreting
101,17.1,2,accreting,2023,2024,17.1,2,accreting,15.83,2.62,accreting
102,16.42,2,accreting,2023,2024,16.42,2,accreting,15.21,2.62,accreting
