id,SCE,SCE_highest_unc,SCE_trend,SCE_closest_year,SCE_farthest_year,NSM,NSM_highest_unc,NSM_trend,EPR,EPR_unc,EPR_trend
1,3.34,2,accreting,2021,2022,3.34,2,accreting,2.49,2.11,accreting
2,1.87,2,stable,2021,2022,1.87,2,stable,1.4,2.11,stable
3,18.09,2,accreting,2021,2022,18.09,2,accreting,13.5,2.11,accreting
4,19.62,2,accreting,2021,2022,19.62,2,accreting,14.64,2.11,accreting
5,19.64,2,accreting,2021,2022,19.64,2,accreting,14.66,2.11,accreting
6,16.63,2,accreting,2021,2022,16.63,2,accreting,12.41,2.11,accreting
7,14.65,2,accreting,2021,2022,14.65,2,accreting,10.93,2.11,accreting
8,13.61,2,accreting,2021,2022,13.61,2,accreting,10.16,2.11,accreting
9,15.47,2,accreting,2021,2022,15.47,2,accreting,11.54,2.11,accreting
10,14.62,2,accreting,2021,2022,14.62,2,accreting,10.91,2.11,accreting
11,13.68,2,accreting,2021,2022,13.68,2,accreting,10.21,2.11,accreting
12,11.88,2,accreting,2021,2022,11.88,2,accreting,8.87,2.11,accreting
13,10.52,2,accreting,2021,2022,10.52,2,accreting,7.85,2.11,accreting
14,10.49,2,accreting,2021,2022,10.49,2,accreting,7.83,2.11,accreting
15,9.84,2,accreting,2021,2022,9.84,2,accreting,7.34,2.11,accreting
16,8.86,2,accreting,2021,2022,8.86,2,accreting,6.61,2.11,accreting
17,7.46,2,accreting,2021,2022,7.46,2,accreting,5.57,2.11,accreting
18,6.02,2,accreting,2021,2022,6.02,2,accreting,4.49,2.11,accreting
19,5.94,2,accreting,2021,2022,5.94,2,accreting,4.44,2.11,accreting
20,6.5,2,accreting,2021,2022,6.5,2,accreting,4.85,2.11,accreting
21,6.64,2,accreting,2021,2022,6.64,2,accreting,4.96,2.11,accreting
22,6.43,2,accreting,2021,2022,6.43,2,accreting,4.8,2.11,accreting
23,6.59,2,accreting,2021,2022,6.59,2,accreting,4.92,2.11,accreting
24,4.79,2,accreting,2021,2022,4.79,2,accreting,3.58,2.11,accreting
25,4.03,2,accreting,2021,2022,4.03,2,accreting,3.01,2.11,accreting
26,2.11,2,accreting,2021,2022,2.11,2,accreting,1.58,2.11,stable
27,0.11,2,stable,2021,2022,0.11,2,stable,0.08,2.11,stable
28,1.56,2,stable,2022,2021,-1.56,2,stable,-1.16,2.11,stable
29,1.07,2,stable,2022,2021,-1.07,2,stable,-0.8,2.11,stable
30,2.6,2,accreting,2022,2021,-2.6,2,eroding,-1.94,2.11,stable
31,3.01,2,accreting,2022,2021,-3.01,2,eroding,-2.24,2.11,eroding
32,3.53,2,accreting,2022,2021,-3.53,2,eroding,-2.63,2.11,eroding
33,4.76,2,accreting,2022,2021,-4.76,2,eroding,-3.55,2.11,eroding
34,5.09,2,accreting,2022,2021,-5.09,2,eroding,-3.8,2.11,eroding
35,5.37,2,accreting,2022,2021,-5.37,2,eroding,-4.01,2.11,eroding
36,7.17,2,accreting,2022,2021,-7.17,2,eroding,-5.35,2.11,eroding
37,6.4,2,accreting,2022,2021,-6.4,2,eroding,-4.77,2.11,eroding
38,6.85,2,accreting,2022,2021,-6.85,2,eroding,-5.11,2.11,eroding
39,6.03,2,accreting,2022,2021,-6.03,2,eroding,-4.5,2.11,eroding
40,5.26,2,accreting,2022,2021,-5.26,2,eroding,-3.92,2.11,eroding
41,4.08,2,accreting,2022,2021,-4.08,2,eroding,-3.04,2.11,eroding
42,6.32,2,accreting,2022,2021,-6.32,2,eroding,-4.71,2.11,eroding
43,4.3,2,accreting,2022,2021,-4.3,2,eroding,-3.21,2.11,eroding
44,5.33,2,accreting,2022,2021,-5.33,2,eroding,-3.97,2.11,eroding
45,6.35,2,accreting,2022,2021,-6.35,2,eroding,-4.74,2.11,eroding
46,6.72,2,accreting,2022,2021,-6.72,2,eroding,-5.01,2.11,eroding
47,6.56,2,accreting,2022,2021,-6.56,2,eroding,-4.9,2.11,eroding
48,5.48,2,accreting,2022,2021,-5.48,2,eroding,-4.09,2.11,eroding
49,6.33,2,accreting,2022,2021,-6.33,2,eroding,-4.73,2.11,eroding
50,7.63,2,accreting,2022,2021,-7.63,2,eroding,-5.7,2.11,eroding
51,6.45,2,accreting,2022,2021,-6.45,2,eroding,-4.81,2.11,eroding
52,4.89,2,accreting,2022,2021,-4.89,2,eroding,-3.65,2.11,eroding
53,4.99,2,accreting,2022,2021,-4.99,2,eroding,-3.73,2.11,eroding
54,6.27,2,accreting,2022,2021,-6.27,2,eroding,-4.68,2.11,eroding
55,6.68,2,accreting,2022,2021,-6.68,2,eroding,-4.98,2.11,eroding
56,6.55,2,accreting,2022,2021,-6.55,2,eroding,-4.89,2.11,eroding
57,6.31,2,accreting,2022,2021,-6.31,2,eroding,-4.71,2.11,eroding
58,4.57,2,accreting,2022,2021,-4.57,2,eroding,-3.41,2.11,eroding
59,1.92,2,stable,2022,2021,-1.92,2,stable,-1.43,2.11,stable
60,1.38,2,stable,2022,2021,-1.38,2,stable,-1.03,2.11,stable
61,3.33,2,accreting,2022,2021,-3.33,2,eroding,-2.48,2.11,eroding
62,2.18,2,accreting,2022,2021,-2.18,2,eroding,-1.62,2.11,stable
63,0.45,2,stable,2022,2021,-0.45,2,stable,-0.34,2.11,stable
64,0.27,2,stable,2022,2021,-0.27,2,stable,-0.2,2.11,stable
65,0.4,2,stable,2021,2022,0.4,2,stable,0.3,2.11,stable
66,2.31,2,accreting,2021,2022,2.31,2,accreting,1.72,2.11,stable
67,3.25,2,accreting,2021,2022,3.25,2,accreting,2.43,2.11,accreting
68,3.1,2,accreting,2021,2022,3.1,2,accreting,2.31,2.11,accreting
69,0.41,2,stable,2022,2021,-0.41,2,stable,-0.31,2.11,stable
70,8.92,2,accreting,2022,2021,-8.92,2,eroding,-6.66,2.11,eroding
71,1.4,2,stable,2022,2021,-1.4,2,stable,-1.05,2.11,stable
72,0.94,2,stable,2021,2022,0.94,2,stable,0.7,2.11,stable
73,0.81,2,stable,2021,2022,0.81,2,stable,0.61,2.11,stable
74,0.43,2,stable,2021,2022,0.43,2,stable,0.32,2.11,stable
75,0.09,2,stable,2022,2021,-0.09,2,stable,-0.07,2.11,stable
76,0.19,2,stable,2022,2021,-0.19,2,stable,-0.14,2.11,stable
77,4.23,2,accreting,2021,2022,4.23,2,accreting,3.15,2.11,accreting
78,1.48,2,stable,2021,2022,1.48,2,stable,1.1,2.11,stable
79,1.19,2,stable,2021,2022,1.19,2,stable,0.89,2.11,stable
80,2.38,2,accreting,2021,2022,2.38,2,accreting,1.78,2.11,stable
81,2.25,2,accreting,2021,2022,2.25,2,accreting,1.68,2.11,stable
82,2.64,2,accreting,2021,2022,2.64,2,accreting,1.97,2.11,stable
83,1.07,2,stable,2021,2022,1.07,2,stable,0.8,2.11,stable
84,0.7,2,stable,2021,2022,0.7,2,stable,0.52,2.11,stable
85,0.23,2,stable,2022,2021,-0.23,2,stable,-0.17,2.11,stable
86,0.56,2,stable,2022,2021,-0.56,2,stable,-0.42,2.11,stable
87,1.3,2,stable,2022,2021,-1.3,2,stable,-0.97,2.11,stable
88,0.03,2,stable,2022,2021,-0.03,2,stable,-0.03,2.11,stable
89,0.99,2,stable,2021,2022,0.99,2,stable,0.74,2.11,stable
90,0.44,2,stable,2022,2021,-0.44,2,stable,-0.33,2.11,stable
91,1.75,2,stable,2022,2021,-1.75,2,stable,-1.3,2.11,stable
92,0.84,2,stable,2022,2021,-0.84,2,stable,-0.63,2.11,stable
93,2.24,2,accreting,2021,2022,2.24,2,accreting,1.67,2.11,stable
94,4.01,2,accreting,2021,2022,4.01,2,accreting,2.99,2.11,accreting
95,1.65,2,stable,2021,2022,1.65,2,stable,1.23,2.11,stable
96,3.65,2,accreting,2021,2022,3.65,2,accreting,2.72,2.11,accreting
97,3.79,2,accreting,2021,2022,3.79,2,accreting,2.83,2.11,accreting
98,3.76,2,accreting,2021,2022,3.76,2,accreting,2.81,2.11,accreting
99,4.39,2,accreting,2021,2022,4.39,2,accreting,3.28,2.11,accreting
100,6.38,2,accreting,2021,2022,6.38,2,accreting,4.76,2.11,accreting
101,6.51,2,accreting,2021,2022,6.51,2,accreting,4.86,2.11,accreting
102,7.6,2,accreting,2021,2022,7.6,2,accreting,5.67,2.11,accreting
103,8.53,2,accreting,2021,2022,8.53,2,accreting,6.36,2.11,accreting
104,9.5,2,accreting,2021,2022,9.5,2,accreting,7.09,2.11,accreting
105,10.85,2,accreting,2021,2022,10.85,2,accreting,8.09,2.11,accreting
106,9.5,2,accreting,2021,2022,9.5,2,accreting,7.09,2.11,accreting
107,7.18,2,accreting,2021,2022,7.18,2,accreting,5.36,2.11,accreting
108,5.06,2,accreting,2021,2022,5.06,2,accreting,3.77,2.11,accreting
109,4.38,2,accreting,2021,2022,4.38,2,accreting,3.27,2.11,accreting
110,3.61,2,accreting,2021,2022,3.61,2,accreting,2.69,2.11,accreting
111,3.18,2,accreting,2021,2022,3.18,2,accreting,2.37,2.11,accreting
112,2.77,2,accreting,2021,2022,2.77,2,accreting,2.06,2.11,stable
113,3.18,2,accreting,2021,2022,3.18,2,accreting,2.37,2.11,accreting
114,3.6,2,accreting,2021,2022,3.6,2,accreting,2.68,2.11,accreting
115,3.9,2,accreting,2021,2022,3.9,2,accreting,2.91,2.11,accreting
116,3.66,2,accreting,2021,2022,3.66,2,accreting,2.73,2.11,accreting
117,3.09,2,accreting,2021,2022,3.09,2,accreting,2.3,2.11,accreting
118,1.43,2,stable,2021,2022,1.43,2,stable,1.07,2.11,stable
119,1.86,2,stable,2021,2022,1.86,2,stable,1.39,2.11,stable
120,3.11,2,accreting,2021,2022,3.11,2,accreting,2.32,2.11,accreting
121,4.86,2,accreting,2021,2022,4.86,2,accreting,3.63,2.11,accreting
122,5.85,2,accreting,2021,2022,5.85,2,accreting,4.37,2.11,accreting
123,6.58,2,accreting,2021,2022,6.58,2,accreting,4.91,2.11,accreting
124,7.34,2,accreting,2021,2022,7.34,2,accreting,5.48,2.11,accreting
125,8.52,2,accreting,2021,2022,8.52,2,accreting,6.36,2.11,accreting
126,8.73,2,accreting,2021,2022,8.73,2,accreting,6.51,2.11,accreting
127,6.98,2,accreting,2021,2022,6.98,2,accreting,5.21,2.11,accreting
128,6.44,2,accreting,2021,2022,6.44,2,accreting,4.8,2.11,accreting
129,5.2,2,accreting,2021,2022,5.2,2,accreting,3.88,2.11,accreting
130,3.49,2,accreting,2021,2022,3.49,2,accreting,2.6,2.11,accreting
131,2.63,2,accreting,2021,2022,2.63,2,accreting,1.96,2.11,stable
132,2.73,2,accreting,2021,2022,2.73,2,accreting,2.04,2.11,stable
133,2.9,2,accreting,2021,2022,2.9,2,accreting,2.16,2.11,accreting
134,2.82,2,accreting,2021,2022,2.82,2,accreting,2.11,2.11,stable
135,1.49,2,stable,2021,2022,1.49,2,stable,1.11,2.11,stable
136,1.84,2,stable,2021,2022,1.84,2,stable,1.38,2.11,stable
137,0.17,2,stable,2021,2022,0.17,2,stable,0.13,2.11,stable
138,0.31,2,stable,2022,2021,-0.31,2,stable,-0.23,2.11,stable
139,1.39,2,stable,2022,2021,-1.39,2,stable,-1.04,2.11,stable
140,1.45,2,stable,2022,2021,-1.45,2,stable,-1.08,2.11,stable
141,1.59,2,stable,2022,2021,-1.59,2,stable,-1.18,2.11,stable
142,0.8,2,stable,2021,2022,0.8,2,stable,0.6,2.11,stable
143,2.22,2,accreting,2021,2022,2.22,2,accreting,1.65,2.11,stable
144,3.96,2,accreting,2021,2022,3.96,2,accreting,2.96,2.11,accreting
145,6.27,2,accreting,2021,2022,6.27,2,accreting,4.68,2.11,accreting
146,5.51,2,accreting,2021,2022,5.51,2,accreting,4.11,2.11,accreting
147,4.63,2,accreting,2021,2022,4.63,2,accreting,3.46,2.11,accreting
148,4.76,2,accreting,2021,2022,4.76,2,accreting,3.55,2.11,accreting
149,0.39,2,stable,2021,2022,0.39,2,stable,0.29,2.11,stable
150,1.5,2,stable,2022,2021,-1.5,2,stable,-1.12,2.11,stable
151,1.4,2,stable,2022,2021,-1.4,2,stable,-1.05,2.11,stable
152,1.66,2,stable,2022,2021,-1.66,2,stable,-1.24,2.11,stable
153,1.88,2,stable,2022,2021,-1.88,2,stable,-1.41,2.11,stable
