Model,Accuracy_5m_%,Accuracy_10m_%,R2,RMSE_m,MAE_m
LinearRegression,37.33,70.67,0.7012,8.99,7.38
WeightedLR,44.0,78.33,0.7714,7.87,6.5
Polynomial_2,32.0,57.33,0.3891,12.86,10.19
Ridge,37.33,70.67,0.7012,8.99,7.38
RandomForest,60.67,84.67,0.815,7.08,5.38
XGBoost,43.33,84.33,0.8113,7.15,6.09
Ensemble,55.33,87.33,0.8317,6.75,5.47
