date,max_erosion_m,mean_erosion_m,max_accretion_m,mean_change_m,worst_transect_idx,wind_speed,fg10,msl,tp,vhm0,vtpk,vmdr,wave_energy
2026-03-04,23.947285918841192,3.0688022650931366,27.927116314623262,-5.428253247123572,89,1.275170357,5.037224225,101027.5333,0.0016285939999999997,0.699999988,12.15250015,198.5037537,0.489999983
2026-03-05,23.947285918841192,3.0688022650931366,27.927116314623262,-5.428253247123572,89,1.275170357,5.037224225,101027.5333,0.0016285939999999997,0.699999988,12.15250015,198.5037537,0.489999983
2026-03-06,23.947285918841192,3.0688022650931366,27.927116314623262,-5.428253247123572,89,1.275170357,5.037224225,101027.5333,0.0016285939999999997,0.699999988,12.15250015,198.5037537,0.489999983
2026-03-07,23.947285918841192,3.0688022650931366,27.927116314623262,-5.428253247123572,89,1.275170357,5.037224225,101027.5333,0.0016285939999999997,0.699999988,12.15250015,198.5037537,0.489999983
2026-03-08,23.947285918841192,3.0688022650931366,27.927116314623262,-5.428253247123572,89,1.275170357,5.037224225,101027.5333,0.0016285939999999997,0.699999988,12.15250015,198.5037537,0.489999983
2026-03-09,23.947285918841192,3.0688022650931366,27.927116314623262,-5.428253247123572,89,1.275170357,5.037224225,101027.5333,0.0016285939999999997,0.699999988,12.15250015,198.5037537,0.489999983
2026-03-10,23.947285918841192,3.0688022650931366,27.927116314623262,-5.428253247123572,89,1.275170357,5.037224225,101027.5333,0.0016285939999999997,0.699999988,12.15250015,198.5037537,0.489999983
2026-03-11,23.947285918841192,3.0688022650931366,27.927116314623262,-5.428253247123572,89,1.275170357,5.037224225,101027.5333,0.0016285939999999997,0.699999988,12.15250015,198.5037537,0.489999983
2026-03-12,23.947285918841192,3.0688022650931366,27.927116314623262,-5.428253247123572,89,1.275170357,5.037224225,101027.5333,0.0016285939999999997,0.699999988,12.15250015,198.5037537,0.489999983
2026-03-13,23.947285918841192,3.0688022650931366,27.927116314623262,-5.428253247123572,89,1.275170357,5.037224225,101027.5333,0.0016285939999999997,0.699999988,12.15250015,198.5037537,0.489999983
2026-03-14,23.947285918841192,3.0688022650931366,27.927116314623262,-5.428253247123572,89,1.275170357,5.037224225,101027.5333,0.0016285939999999997,0.699999988,12.15250015,198.5037537,0.489999983
