id,SCE,SCE_highest_unc,SCE_trend,SCE_closest_year,SCE_farthest_year,NSM,NSM_highest_unc,NSM_trend,EPR,EPR_unc,EPR_trend,LRR,LR2,LSE,LCI,WLR,WR2,WSE,WCI
135,44.88,1,accreting,2011,2020,-12.5,1,eroding,-0.86,0.1,eroding,0.72,0.07,11.09,1.7,0.72,0.07,11.09,1.7
136,44.5,1,accreting,2023,2020,-10.67,1,eroding,-0.74,0.1,eroding,0.66,0.06,10.96,1.67,0.66,0.06,10.96,1.67
137,43.46,1,accreting,2023,2020,-13.45,1,eroding,-0.93,0.1,eroding,0.69,0.07,10.43,1.59,0.69,0.07,10.43,1.59
138,42.16,1,accreting,2023,2020,-15.86,1,eroding,-1.09,0.1,eroding,0.67,0.08,9.36,1.43,0.67,0.08,9.36,1.43
139,35.28,1,accreting,2023,2020,-14.84,1,eroding,-1.02,0.1,eroding,0.61,0.09,7.9,1.21,0.61,0.09,7.9,1.21
140,30.32,1,accreting,2012,2020,-12.59,1,eroding,-0.87,0.1,eroding,0.53,0.09,6.75,1.03,0.53,0.09,6.75,1.03
141,25.63,1,accreting,2012,2020,-8.75,1,eroding,-0.6,0.1,eroding,0.51,0.11,5.82,0.89,0.51,0.11,5.82,0.89
142,21.62,1,accreting,2016,2020,-4.33,1,eroding,-0.3,0.1,eroding,0.41,0.1,5.1,0.78,0.41,0.1,5.1,0.78
143,20.33,1,accreting,2016,2020,-1.75,1,eroding,-0.12,0.1,eroding,0.44,0.15,4.34,0.66,0.44,0.15,4.34,0.66
144,15.78,1,accreting,2016,2022,1.7,1,accreting,0.12,0.1,accreting,0.35,0.12,3.81,0.58,0.35,0.12,3.81,0.58
145,13.84,1,accreting,2017,2022,5.02,1,accreting,0.35,0.1,accreting,0.28,0.08,3.94,0.6,0.28,0.08,3.94,0.6
146,13.38,1,accreting,2011,2023,4.4,1,accreting,0.3,0.1,accreting,0.3,0.1,3.62,0.55,0.3,0.1,3.62,0.55
147,14.62,1,accreting,2017,2019,5.28,1,accreting,0.36,0.1,accreting,0.32,0.11,3.73,0.57,0.32,0.11,3.73,0.57
148,19.64,1,accreting,2016,2019,2.99,1,accreting,0.21,0.1,accreting,0.38,0.13,4.09,0.63,0.38,0.13,4.09,0.63
149,17.71,1,accreting,2016,2019,-1.22,1,eroding,-0.08,0.1,eroding,0.4,0.18,3.54,0.54,0.4,0.18,3.54,0.54
150,14.12,1,accreting,2011,2019,-5.06,1,eroding,-0.35,0.1,eroding,0.55,0.37,2.92,0.45,0.55,0.37,2.92,0.45
151,17.37,1,accreting,2023,2018,-9.15,1,eroding,-0.63,0.1,eroding,0.55,0.28,3.62,0.55,0.55,0.28,3.62,0.55
152,20.23,1,accreting,2023,2024,-13.94,1,eroding,-0.96,0.1,eroding,0.67,0.31,4.14,0.63,0.67,0.31,4.14,0.63
153,22.98,1,accreting,2023,2024,-18.21,1,eroding,-1.25,0.1,eroding,0.81,0.29,5.12,0.78,0.81,0.29,5.12,0.78
154,25.15,1,accreting,2011,2018,-21.73,1,eroding,-1.5,0.1,eroding,0.97,0.29,6.26,0.96,0.97,0.29,6.26,0.96
155,30.15,1,accreting,2023,2019,-20.66,1,eroding,-1.42,0.1,eroding,0.96,0.2,7.81,1.19,0.96,0.2,7.81,1.19
156,33.53,1,accreting,2011,2019,-18.52,1,eroding,-1.28,0.1,eroding,0.98,0.2,8.16,1.25,0.98,0.2,8.16,1.25
157,31.25,1,accreting,2023,2019,-20.69,1,eroding,-1.43,0.1,eroding,0.95,0.2,7.75,1.18,0.95,0.2,7.75,1.18
158,27.81,1,accreting,2023,2020,-14.07,1,eroding,-0.97,0.1,eroding,0.8,0.16,7.49,1.14,0.8,0.16,7.49,1.14
159,26.5,1,accreting,2011,2020,-10.39,1,eroding,-0.72,0.1,eroding,0.72,0.15,7.02,1.07,0.72,0.15,7.02,1.07
160,26.54,1,accreting,2023,2020,-7.48,1,eroding,-0.52,0.1,eroding,0.66,0.16,6.13,0.94,0.66,0.16,6.13,0.94
161,26.33,1,accreting,2023,2020,-6.95,1,eroding,-0.48,0.1,eroding,0.56,0.15,5.42,0.83,0.56,0.15,5.42,0.83
162,24.77,1,accreting,2023,2020,-6.99,1,eroding,-0.48,0.1,eroding,0.57,0.17,5.22,0.8,0.57,0.17,5.22,0.8
163,26.11,1,accreting,2012,2020,-7.99,1,eroding,-0.55,0.1,eroding,0.7,0.2,5.7,0.87,0.7,0.2,5.7,0.87
164,23.91,1,accreting,2012,2020,-7.54,1,eroding,-0.52,0.1,eroding,0.69,0.25,4.94,0.76,0.69,0.25,4.94,0.76
165,24.05,1,accreting,2023,2020,-5.83,1,eroding,-0.4,0.1,eroding,0.53,0.17,4.86,0.74,0.53,0.17,4.86,0.74
166,23.64,1,accreting,2023,2020,-5.64,1,eroding,-0.39,0.1,eroding,0.6,0.21,4.72,0.72,0.6,0.21,4.72,0.72
167,27.44,1,accreting,2023,2020,-8.15,1,eroding,-0.56,0.1,eroding,0.73,0.25,5.18,0.79,0.73,0.25,5.18,0.79
168,31.67,1,accreting,2023,2020,-11.65,1,eroding,-0.8,0.1,eroding,0.79,0.24,5.72,0.87,0.79,0.24,5.72,0.87
169,29.71,1,accreting,2023,2020,-12.37,1,eroding,-0.85,0.1,eroding,0.78,0.25,5.59,0.86,0.78,0.25,5.59,0.86
170,24.13,1,accreting,2023,2020,-8.33,1,eroding,-0.57,0.1,eroding,0.69,0.29,4.49,0.69,0.69,0.29,4.49,0.69
171,10.4,1,accreting,2023,2020,-5.52,1,eroding,-0.38,0.1,eroding,0.28,0.17,2.47,0.38,0.28,0.17,2.47,0.38
172,13.25,1,accreting,2023,2018,-3.2,1,eroding,-0.22,0.1,eroding,-0.04,0,2.94,0.45,-0.04,0,2.94,0.45
173,13.53,1,accreting,2023,2010,5.23,1,accreting,0.36,0.1,accreting,-0.18,0.06,2.92,0.45,-0.18,0.06,2.92,0.45
174,12.32,1,accreting,2023,2019,7.13,1,accreting,0.49,0.1,accreting,-0.12,0.03,2.69,0.41,-0.12,0.03,2.69,0.41
175,10.59,1,accreting,2020,2019,6.16,1,accreting,0.42,0.1,accreting,-0.11,0.03,2.51,0.38,-0.11,0.03,2.51,0.38
176,9.84,1,accreting,2020,2019,4.58,1,accreting,0.32,0.1,accreting,-0.06,0.01,2.33,0.36,-0.06,0.01,2.33,0.36
177,10.02,1,accreting,2023,2019,2.93,1,accreting,0.2,0.1,accreting,0.01,0,2.2,0.34,0.01,0,2.2,0.34
178,8.89,1,accreting,2022,2019,3.08,1,accreting,0.21,0.1,accreting,0.01,0,1.98,0.3,0.01,0,1.98,0.3
179,7.13,1,accreting,2012,2020,3.12,1,accreting,0.21,0.1,accreting,0.05,0.01,1.74,0.27,0.05,0.01,1.74,0.27
180,10.11,1,accreting,2024,2019,5.11,1,accreting,0.35,0.1,accreting,-0.03,0,1.93,0.29,-0.03,0,1.93,0.29
181,10.24,1,accreting,2018,2019,1.49,1,accreting,0.1,0.1,accreting,0.07,0.02,2.3,0.35,0.07,0.02,2.3,0.35
182,9.51,1,accreting,2014,2020,0.87,1,accreting,0.06,0.1,accreting,0.08,0.02,2.3,0.35,0.08,0.02,2.3,0.35
183,9.86,1,accreting,2024,2020,6.36,1,accreting,0.44,0.1,accreting,-0.03,0,2.51,0.38,-0.03,0,2.51,0.38
184,13.34,1,accreting,2024,2020,2.09,1,accreting,0.14,0.1,accreting,0.22,0.07,3.15,0.48,0.22,0.07,3.15,0.48
185,20.29,1,accreting,2023,2020,1.76,1,accreting,0.12,0.1,accreting,0.28,0.07,4.41,0.67,0.28,0.07,4.41,0.67
186,26.85,1,accreting,2023,2022,-2.91,1,eroding,-0.2,0.1,eroding,0.37,0.07,5.6,0.86,0.37,0.07,5.6,0.86
187,25.66,1,accreting,2023,2022,8.76,1,accreting,0.6,0.1,accreting,-0.15,0.01,6.18,0.94,-0.15,0.01,6.18,0.94
