monsoon_year,Hm0_max_year,WindMax_year,UcurrMax_year,max_forcing,Erosion_Label,annual_NSM,annual_wave_norm,annual_wind_norm,annual_curr_norm,annual_forcing_composite,Hm0_max_annual,Hm0_mean_annual,Hm0_std_annual,Tp_max_annual,Tp_mean_annual,CumWaveEnergy_annual,StormDays_wave_annual,WindMax_annual,WindMean_annual,WindStd_annual,WindStressMax_annual,WindStressMean_annual,StormDays_wind_annual,UcurrMax_annual,UcurrMean_annual,UcurrStd_annual,CumCurrent_annual,Hm0_max,WindMax,UcurrMax,Hm0_mean,WindMean,UcurrMean,CumCurrent,WindStressMean,StormDays_wave,CumWaveEnergy,wave_intensity,wind_intensity,current_intensity,env_forcing_index,PC1,PC2,PC3,Forcing_Cluster,Forcing_Regime
2011,2.54,6.29,0.3429607,0.6017166,1,-9.094444444444445,-0.9954999,-0.56637305,-1.4139599,-0.9919443,2.54,1.150403,0.43696368,23.04,12.788501,56244.84,79,6.29,4.415833,1.3979366,0.0,0.0,0,0.3429607,0.14096841,0.0737872,51.594437,2.54,6.29,0.3429607,1.150403,4.415833,0.14096841,51.594437,0.0,79,56244.84,-0.9954999,-0.56637305,-1.4139599,-0.9919443,-2.3559702929240034,-0.6982227970738987,-0.5108927796473971,1,Low-Energy
2012,2.97,6.68,0.46037453,1.1135498,0,2.850909090909091,0.50543,0.43765035,-0.09652608,0.28218475,2.97,1.1485376,0.42697686,21.04,12.703686,53603.65,59,6.68,4.5041666,1.5096325,0.0,0.0,0,0.46037453,0.13822383,0.076518126,50.4517,2.97,6.68,0.46037453,1.1485376,4.5041666,0.13822383,50.4517,0.0,59,53603.65,0.50543,0.43765035,-0.09652608,0.28218475,-1.8163410463953156,1.0528006299686274,0.09730986818591027,0,Wave-Dominated
2013,2.97,7.06,0.56642777,1.222719,0,-2.5714285714285716,0.50543,1.4159302,1.0934367,1.0049323,2.97,1.2392535,0.47555467,22.21,12.705161,62069.27,169,7.06,4.8108335,1.4629265,0.0,0.0,0,0.56642777,0.16995458,0.09081262,62.03342,2.97,7.06,0.56642777,1.2392535,4.8108335,0.16995458,62.03342,0.0,169,62069.27,0.50543,1.4159302,1.0934367,1.0049323,3.2355093058028195,1.081444306708858,-1.079269600420451,4,Wave-Wind-Current Combined
2014,2.65,6.85,0.48040012,1.0024968,0,-3.17,-0.61154073,0.8753019,0.12816954,0.13064356,2.65,1.2254316,0.4648923,21.62,13.427312,66298.89,166,6.85,4.465833,1.5094277,0.0,0.0,0,0.48040012,0.14937997,0.07770224,54.52369,2.65,6.85,0.48040012,1.2254316,4.465833,0.14937997,54.52369,0.0,166,66298.89,-0.61154073,0.8753019,0.12816954,0.13064356,0.8468013208671863,-0.5968361138847534,0.4424246637621965,3,Wind-Dominated
2015,2.63,6.72,0.37676603,0.9780943,0,2.16,-0.6813513,0.54062706,-1.0346494,-0.3917912,2.63,1.1362636,0.4132706,22.71,13.510577,55423.137,101,6.72,4.1891665,1.4187348,0.0,0.0,0,0.37676603,0.13625063,0.06979397,49.867733,2.63,6.72,0.37676603,1.1362636,4.1891665,0.13625063,49.867733,0.0,101,55423.137,-0.6813513,0.54062706,-1.0346494,-0.3917912,-2.5166456866324505,-0.08859433899034706,0.10637797962929127,3,Wind-Dominated
2016,2.64,7.23,0.3862954,1.1370953,0,-5.303333333333334,-0.646446,1.8535818,-0.9277257,0.093136705,2.64,1.2734932,0.51656544,23.9,13.005055,68612.766,250,7.23,4.805,1.7014139,0.0,0.0,0,0.3862954,0.15257174,0.083140284,55.688683,2.64,7.23,0.3862954,1.2734932,4.805,0.15257174,55.688683,0.0,250,68612.766,-0.646446,1.8535818,-0.9277257,0.093136705,2.364552784332673,-2.0887642261101638,0.2699018710151265,3,Wind-Dominated
2017,3.18,6.72,0.6169282,1.7476534,0,-5.526666666666666,1.2384423,0.54062706,1.6600734,1.1463809,3.18,1.2465445,0.48100936,21.55,12.777439,63392.004,192,6.72,4.704167,1.396453,0.0,0.0,0,0.6169282,0.16486385,0.087453716,60.175304,3.18,6.72,0.6169282,1.2465445,4.704167,0.16486385,60.175304,0.0,192,63392.004,1.2384423,0.54062706,1.6600734,1.1463809,3.0740612809336065,1.3887055157690646,0.18235755663071604,2,Wave-Wind-Current Combined
2018,2.73,6.78,0.39609262,1.0623764,1,-5.789999999999999,-0.33229825,0.69509333,-0.8177967,-0.15166721,2.73,1.1835376,0.49963918,22.72,13.238058,61593.55,249,6.78,4.3650002,1.458215,0.0,0.0,0,0.39609262,0.14722018,0.08244498,53.735367,2.73,6.78,0.39609262,1.1835376,4.3650002,0.14722018,53.735367,0.0,249,61593.55,-0.33229825,0.69509333,-0.8177967,-0.15166721,0.15465007815322487,-0.9061916416964003,0.5886808338418239,3,Wind-Dominated
2019,3.48,6.49,0.5090546,1.6066972,1,-7.263333333333333,2.2856023,-0.051489577,0.44968516,0.89459926,3.48,1.1330874,0.4845892,23.02,14.030812,60780.793,149,6.49,4.061667,1.4423833,0.0,0.0,0,0.5090546,0.14409038,0.087642975,52.73708,3.48,6.49,0.5090546,1.1330874,4.061667,0.14409038,52.73708,0.0,149,60780.793,2.2856023,-0.051489577,0.44968516,0.89459926,-0.6676871542352221,2.0394939137716763,2.1470475593213356,2,Wave-Dominated
2020,3.06,6.04,0.38128406,0.8439999,1,-12.226666666666667,0.81957775,-1.209978,-0.98395514,-0.45811844,3.06,1.2301507,0.47146988,23.36,12.981774,64315.984,179,6.04,4.4533334,1.334775,0.0,0.0,0,0.38128406,0.13133387,0.07588191,47.936863,3.06,6.04,0.38128406,1.2301507,4.4533334,0.13133387,47.936863,0.0,179,64315.984,0.81957775,-1.209978,-0.98395514,-0.45811844,-1.0880195091562028,-1.2856243197519064,2.558646693789447,0,Wave-Dominated
2021,3.21,6.9,0.52949643,1.5304886,1,-11.065000000000001,1.3431582,1.0040234,0.6790513,1.0087444,3.21,1.2375206,0.50648594,21.51,12.121729,59279.844,195,6.9,4.6883335,1.4805578,0.0,0.0,0,0.52949643,0.14985685,0.092651635,54.69775,3.21,6.9,0.52949643,1.2375206,4.6883335,0.14985685,54.69775,0.0,195,59279.844,1.3431582,1.0040234,0.6790513,1.0087444,1.527931941201578,0.7693859724906494,0.7968341337329893,4,Wave-Wind-Current Combined
2022,3.41,6.8,0.6869128,1.4840709,1,-6.415217391304348,2.0412652,0.7465817,2.4453301,1.7443924,3.41,1.2452226,0.541361,21.49,12.24063,61666.336,292,6.8,4.8716664,1.6177022,0.0,0.0,0,0.6869128,0.15055503,0.08987873,54.952583,3.41,6.8,0.6869128,1.2452226,4.8716664,0.15055503,54.952583,0.0,292,61666.336,2.0412652,0.7465817,2.4453301,1.7443924,3.040847202627388,1.3090999154146425,1.741754677087806,2,Wave-Wind-Current Combined
2023,2.63,6.44,0.39248368,0.9894297,0,3.545,-0.6813513,-0.18020983,-0.85829055,-0.5732839,2.63,1.0804781,0.4151679,21.05,12.982315,48872.082,43,6.44,4.08,1.5321108,0.0,0.0,0,0.39248368,0.12879057,0.07263434,47.137352,2.63,6.44,0.39248368,1.0804781,4.08,0.12879057,47.137352,0.0,43,48872.082,-0.6813513,-0.18020983,-0.85829055,-0.5732839,-4.466415574763534,0.7288282596280252,-0.08584042459525258,1,Low-Energy
2024,3.18,6.19,0.654643,1.4256996,0,1.76,1.2384423,-0.8238148,2.0832493,0.8326256,3.18,1.1994829,0.49472708,24.0,12.865014,59342.996,148,6.19,4.4933333,1.3676944,0.0,0.0,0,0.654643,0.15695229,0.09902085,57.287586,3.18,6.19,0.654643,1.1994829,4.4933333,0.15695229,57.287586,0.0,148,59342.996,1.2384423,-0.8238148,2.0832493,0.8326256,1.1705388625871347,2.0871187753873497,0.5321104143663105,2,Wave-Current Combined
