date,u10,v10,fg10,msl,tp,latitude,longitude,vhm0,vmdr,vtpk,wind_speed,wave_energy,doy_sin,doy_cos,month_sin,month_cos
1990-01-01,0.10112570958333338,0.5103499041666667,3.8096255041666667,100993.63833333332,1.4086564373333332e-05,6.5,80.0,0.6100000143051147,206.10125732421875,10.132499694824219,0.5202724611409473,0.3721000174522402,0.017213356155834685,0.9998518392091162,0.49999999999999994,0.8660254037844387
1990-01-02,0.13152058916666667,-0.52543385625,3.9944607750000003,100976.07833333332,1.5755494345833332e-05,6.5,80.0,0.6637499928474426,217.94000244140625,14.136249542236328,0.541644166098457,0.44056405300498014,0.03442161162274574,0.9994074007397048,0.49999999999999994,0.8660254037844387
1990-01-03,-0.330767315625,-0.6249179895833333,5.022972591666666,101042.38270833333,2.2153059920833336e-05,6.5,80.0,0.7200000286102295,239.41250610351562,16.62125015258789,0.7070569360317763,0.5184000411987313,0.051619667223253764,0.998666816288476,0.49999999999999994,0.8660254037844387
1990-01-04,-0.7850844058333334,-4.221357345833334,6.293089529166667,101111.96375,0.001572708284875,6.5,80.0,0.7762500047683716,265.20001220703125,15.569999694824219,4.293741418099572,0.6025640699028969,0.06880242680231986,0.9976303053065857,0.49999999999999994,0.8660254037844387
1990-01-05,-1.3537578625,-4.339352908333333,12.074156358333333,100849.73208333332,0.004578530812916666,6.5,80.0,1.1200000047683716,320.38250732421875,11.005000114440918,4.545618111251926,1.2544000106811524,0.08596479873744647,0.9962981749346078,0.49999999999999994,0.8660254037844387
1990-01-06,-3.3942025270833334,4.8958066375,11.025819466666666,101024.758125,0.000175972778125,6.5,80.0,0.9262499809265137,215.07374572753906,10.398750305175781,5.957309243832146,0.8579390271663669,0.10310169744743485,0.9946708199115211,0.49999999999999994,0.8660254037844387
1990-01-07,-1.061787279375,0.7168165741666667,5.203253733333333,101187.304375,7.9810619825e-05,6.5,80.0,0.550000011920929,196.87625122070312,11.561249732971191,1.2811003971752568,0.302500013113022,0.1202080448993527,0.9927487224577402,0.49999999999999994,0.8660254037844387
1990-01-08,-0.14412879666666667,-0.9207159656916666,3.933030841666667,101289.2325,6.224711751583333e-05,6.5,80.0,0.5625,184.11874389648438,11.471250534057617,0.9319286450732801,0.31640625,0.13727877211326478,0.9905324521322229,0.49999999999999994,0.8660254037844387
1990-01-09,1.1078593033333333,0.09907976599999997,4.076871125,101111.45354166666,9.604295069416667e-05,6.5,80.0,0.6037499904632568,187.07749938964844,11.763750076293945,1.1122810058671473,0.3645140509843827,0.15430882066428117,0.9880226656636976,0.49999999999999994,0.8660254037844387
1990-01-10,-0.16246986479166667,-3.2682806791666668,5.343143716666667,101157.29666666668,3.07162607125e-05,6.5,80.0,0.7475000023841858,229.68124389648438,11.720000267028809,3.2723164661718696,0.5587562535643578,0.1712931441814776,0.9852201067560606,0.49999999999999994,0.8660254037844387
1990-01-11,-0.4342466953208333,-3.0852979250000003,4.824666166666667,101163.66458333335,1.4702479008333335e-06,6.5,80.0,0.7774999737739563,218.7050018310547,11.383749961853027,3.115707540576678,0.6045062092185027,0.1882267098432442,0.9821256058680006,0.49999999999999994,0.8660254037844387
1990-01-12,0.19331232783333333,-0.3363259729166666,4.445894829166667,101134.77395833335,4.630287477083334e-05,6.5,80.0,0.7475000023841858,193.68374633789062,13.356249809265137,0.3879237246556138,0.5587562535643578,0.2051044998686192,0.9787400799669153,0.49999999999999994,0.8660254037844387
1990-01-13,-0.03577105116666667,-2.524795533333333,4.872228445833334,101112.8075,3.1987825758333332e-06,6.5,80.0,0.6862499713897705,200.4737548828125,12.212499618530273,2.5250489209600513,0.47093902323246084,0.2219215130041655,0.9750645322571948,0.49999999999999994,0.8660254037844387
