date,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,u10,v10,fg10,msl,tp,vhm0,vtpk,vmdr,wind_speed,wave_energy,doy_sin,doy_cos,month_sin,month_cos
2010-07-26,-0.00010646810143706302,-9.344404026396684e-05,-4.600568244987896e-05,-1.5449543446338742e-05,-9.26229288653602e-06,-3.0750423267333e-06,3.2679280351987315e-06,1.0258937699725389e-05,1.7249947364251995e-05,2.4240957028778605e-05,4.115916470754161e-05,6.104611564373025e-05,7.087438181330162e-05,6.679394767820876e-05,6.27135135431159e-05,5.863307940802306e-05,5.4552645272930184e-05,4.511436579996469e-05,2.938981827012945e-05,1.366527074029421e-05,-2.059276789541023e-06,1.595928924533614e-05,4.7357207841531645e-05,5.580735232997203e-05,4.922154044827891e-05,4.263572856658578e-05,3.604991668489266e-05,3.521726886187583e-05,3.765039794794452e-05,4.008352703401322e-05,4.263269237245596e-05,5.23725861232259e-05,6.211247987399581e-05,7.185237362476572e-05,8.575420367529885e-05,0.0001031047434250791,0.00011156695212317873,9.897300578319893e-05,8.637905944321913e-05,8.545229555544236e-05,9.913451563277566e-05,0.00011281673571010895,0.00012649895578744223,0.0001383886859496091,0.00013943631540693736,0.00014048394486426563,0.0001415315743215939,0.00014257920377892217,0.00013598798282642675,0.00012937215448165733,0.00012275632613688796,0.00011621692145884656,0.0001217156593934988,0.00012721439732815107,0.0001327131352628033,0.00013821187319745554,0.0001403496723062069,0.00013483207341900881,0.0001293144745318107,0.00012436220177966973,0.00012276326849889956,0.00012116433521812941,0.00011844634035210405,0.00011494969720182926,0.00010821919904095326,0.00010148870088007726,9.475820271920125e-05,9.765346198589246e-05,0.0001050227845620732,0.00011239210713825406,0.00011206487444408106,0.00010807695728199299,0.00010408904011990492,9.800167776714598e-05,8.992042392302514e-05,8.18391700789043e-05,7.260706351551368e-05,5.865579921999487e-05,4.470453492447587e-05,3.075327062895705e-05,2.1273252518197644e-05,1.1830844955302287e-05,2.8410922371714296e-06,3.61766983041435e-06,4.39424742365727e-06,6.4530358937875725e-06,1.2678318200013416e-05,1.890360050623935e-05,2.5128882812465194e-05,3.135416511869104e-05,-1.1155310142317255e-05,-5.6940738398326845e-05,-0.00010272616665433644,-0.0001421171917192199,-0.00018147998657935796,-0.0002226415407878781,-0.00026421962324469614,-0.0003312866284876664,-0.0005227647612835587,-0.0005263402124226934,3.4357083625,-0.9983393395833334,7.145122458333333,100890.018125,0.0001248518624291,1.6200000047683716,13.00749969482422,246.4499969482422,3.5778168467813045,2.624400015449524,-0.4093559588156211,-0.9123747579707274,-0.4999999999999997,-0.8660254037844388
2010-09-08,-0.00011795354312043021,-9.991573839872889e-05,-2.8302852939895983e-05,-5.024035445431473e-06,6.070337827164232e-06,1.612224365568032e-05,2.4593147014451773e-05,3.338807002452058e-05,4.2182993034589315e-05,5.0977916044658066e-05,6.350060191427322e-05,7.64582061455532e-05,8.438646799352454e-05,8.372688988831964e-05,8.172211046942304e-05,7.971733105052645e-05,7.771255163162985e-05,7.302884954379694e-05,6.520201342752915e-05,5.7375177311261375e-05,4.869034153466246e-05,5.62760854053723e-05,7.055150555674131e-05,7.335303865423277e-05,6.863659356665748e-05,6.392014847908218e-05,6.0335793677545504e-05,6.269588592838864e-05,6.668886663377453e-05,7.068184733916044e-05,7.473284617073335e-05,8.203079504626935e-05,8.870307228395834e-05,9.537534952164733e-05,0.00010412859490921793,0.00011460619514641211,0.00011980055369735167,0.00011326095588808801,0.00010672135807882435,0.0001081534142337206,0.00011693837324252258,0.00012572333225132455,0.0001345082912601265,0.0001420507544175111,0.00014285787448766984,0.00014366499455782862,0.00014447211462798734,0.0001452792346981461,0.00014050130791862077,0.00013524647710303205,0.00012999164628744336,0.00012477502730521867,0.0001256456134242599,0.0001270728179551012,0.00012850002248594256,0.0001299272270167839,0.00012967396213467476,0.00012559299825459094,0.00012286218563156744,0.00012058446193431426,0.00011998340797274648,0.00012121963754984517,0.00012202689265266984,0.0001224448236133698,0.00011924605028145791,0.00011564054175635695,0.00011201180862537839,0.00011243448478613161,0.0001150941926016296,0.00011775390041712763,0.00011669588770022642,0.00011385364095812866,0.0001110113942160309,0.0001007331380551219,8.599713062107682e-05,7.126112318703176e-05,5.8514485194446106e-05,4.508889352437623e-05,3.166330185430617e-05,1.7548027101615276e-05,5.186158705010753e-06,-7.156904417661745e-06,-1.9273640117951995e-05,-2.133818545741891e-05,-2.3378032081757927e-05,-2.4776773267653242e-05,-3.246196806653698e-05,-4.476129160730477e-05,-5.557163527315928e-05,-6.19331939648792e-05,-9.266213144021616e-05,-0.00012502904541305377,-0.00015591343625249478,-0.000182722179775384,-0.00020951680819590048,-0.00024008929283630989,-0.0002801484776134431,-0.0003329521237836527,-0.0005224920487921699,-0.0005583938352536903,3.2666212625,0.1701507545416666,6.671488470833334,100954.13583333332,0.000246206919625,1.347499966621399,13.606249809265137,229.42124938964844,3.271049640694588,1.8157561600446712,-0.9242907221930934,-0.3816892202666586,-1.0,-1.8369701987210294e-16
2010-10-22,-0.0001294389848037974,-0.00010638743653349094,-1.0600023429913007e-05,5.4014725554757966e-06,2.1402968540864487e-05,3.531952963809394e-05,4.5918365993704815e-05,5.651720234931577e-05,6.711603870492665e-05,7.771487506053753e-05,8.584203912100484e-05,9.187029664737615e-05,9.789855417374746e-05,0.00010065983209843051,0.00010073070739573017,0.00010080158269302985,0.00010087245799032952,0.0001009433332876292,0.00010101420858492886,0.00010108508388222854,9.943995985886594e-05,9.659288156540847e-05,9.374580327195098e-05,9.089872497849352e-05,8.805164668503605e-05,8.520456839157857e-05,8.462167067019835e-05,9.017450299490146e-05,9.572733531960455e-05,0.00010128016764430766,0.00010683299996901075,0.0001116890039693128,0.00011529366469392087,0.00011889832541852894,0.000122502986143137,0.0001261076468677451,0.0001280341552715246,0.0001275489059929771,0.00012706365671442957,0.00013085453291199884,0.0001347422308522695,0.00013862992879254014,0.0001425176267328108,0.0001457128228854131,0.00014627943356840232,0.00014684604425139157,0.0001474126549343808,0.00014797926561737002,0.00014501463301081478,0.00014112079972440676,0.00013722696643799878,0.0001333331331515908,0.00012957556745502098,0.00012693123858205138,0.0001242869097090818,0.00012164258083611224,0.00011899825196314265,0.00011635392309017308,0.00011640989673132415,0.00011680672208895877,0.00011720354744659338,0.00012127493988156093,0.00012560744495323563,0.0001299399500249103,0.00013027290152196257,0.00012979238263263664,0.00012926541453155553,0.00012721550758637077,0.00012516560064118598,0.0001231156936960012,0.00012132690095637177,0.00011963032463426433,0.00011793374831215688,0.0001034645983430978,8.20738373191285e-05,6.068307629515922e-05,4.442190687337854e-05,3.152198782875759e-05,1.8622068784136467e-05,4.3427835742735e-06,-1.090093510817614e-05,-2.6144653790625776e-05,-4.138837247307542e-05,-4.629404074525217e-05,-5.115031158717312e-05,-5.600658242909406e-05,-7.760225433308737e-05,-0.0001084261837208489,-0.00013627215335878376,-0.00015522055304844942,-0.00017416895273811506,-0.0001931173524277807,-0.00020910070585065314,-0.00022332716783154808,-0.00023755362981244302,-0.00025753704488474166,-0.00029607733198219,-0.0003346176190796389,-0.0005222193363007812,-0.0005904474580846872,4.6003602375,0.3627592726666667,7.762092912499999,100888.604375,5.632638938166666e-05,1.2837499380111694,8.100000381469727,240.7037506103516,4.614640679909618,1.6480139033436814,-0.9338372288229252,0.3576982388331254,-0.8660254037844386,0.5000000000000001
2010-11-16,-3.294415683306784e-05,-3.142497048173113e-05,-1.4937030100911672e-05,1.5509102799079054e-06,1.803885066072737e-05,3.378521093219008e-05,4.934662690309824e-05,6.49080428740065e-05,8.046945884491466e-05,9.603087481582282e-05,0.00011159229078673097,0.00012023682432957684,0.00012725705470394513,0.0001342772850783135,0.0001412975154526818,0.00014650897916221195,0.0001416046779045151,0.00013670037664681832,0.00013179607538912154,0.00012696804469487457,0.0001236173770105266,0.00012026670932617864,0.00011691604164183067,0.00011741549340877076,0.00011962613056812015,0.00012183676772746955,0.00012404740488681894,0.0001271839981589793,0.00013405757020977128,0.00014093114226056328,0.00014780471431135526,0.0001544859916362122,0.0001509662210732641,0.000147446450510316,0.00014978196739331496,0.0001585182221749817,0.00016725447695664837,0.00016069919328263687,0.00014428349397567467,0.00013304661188550513,0.0001343559463863254,0.0001356652808871457,0.00013697461538796597,0.00013828394988878626,0.00013389368398838614,0.00012905051205025945,0.00012517119918231228,0.00012559348652999038,0.00012601577387766848,0.00012643806122534658,0.00012613624458773751,0.0001257238625579629,0.0001253114805281883,0.0001285373274946956,0.00013448519810214596,0.0001404330687095963,0.00014638093931704666,0.0001421748904348514,0.0001336717311902896,0.00012516857194572786,0.0001220007788858518,0.00012782725844876985,0.00013365373801168797,0.00012967038154812472,0.0001248927740263912,0.00012011516650465767,0.00011297341328908671,0.00010322704183298203,9.348067037687733e-05,8.755043280466018e-05,9.548310795579583e-05,0.00010341578310693147,0.00010780124107405363,9.408820994919392e-05,8.03751788243342e-05,6.666214769947447e-05,5.548097173316902e-05,4.503145702129297e-05,3.4581942309416775e-05,2.100735070321828e-05,4.268532637215757e-06,-1.2470285428786764e-05,-2.7536696129710542e-05,-4.058234210559529e-05,-5.362798808148003e-05,-5.963486762307085e-05,-5.611970600174593e-05,-5.260454438042096e-05,-4.923163133684678e-05,-5.729469171708577e-05,-6.535775209732476e-05,-7.438645672044014e-05,-9.96551886969557e-05,-0.00012585950599115469,-0.0001525695325556408,-0.00020340463914114232,-0.00027008196396768316,-0.0003537116716618679,-0.0005121583199611525,-0.0005452010633920289,2.0680567525833333,-1.24031384,4.626283320833333,100910.26333333332,0.0002639889704166,0.8212499618530273,10.93375015258789,193.1824951171875,2.4114802826482054,0.6744514998435989,-0.6994583270516471,0.7146733860429608,-0.5000000000000004,0.8660254037844384
2010-12-09,-0.0002734984878397333,-0.0002500972972601582,-0.0001815556693558204,-0.0001443507654371228,-0.00011716796435233681,-8.998516326755083e-05,-7.067401703370909e-05,-8.194059046279506e-05,-9.320716389188096e-05,-8.865487706598903e-05,-6.942171610533123e-05,-4.991001354061458e-05,-4.181520508567564e-05,-5.967533393428868e-05,-7.75354627829016e-05,-8.950260782763189e-05,-8.537738252739965e-05,-8.125215722716746e-05,-8.035948308766149e-05,-8.569597098676531e-05,-8.46649353442959e-05,-7.422774805373157e-05,-6.366998351383028e-05,-5.1828622448358555e-05,-3.998726138288683e-05,-2.814590031741507e-05,-1.967304451872631e-05,-1.2500406328762031e-05,-5.327768138797779e-06,3.1599525079562223e-06,1.2010858343741393e-05,2.08617641795266e-05,2.823652730336737e-05,2.038422084434849e-05,1.2531914385329615e-05,4.679607926310678e-06,2.4872807335458214e-06,8.462367586585729e-06,1.3840437261827347e-05,1.6492971819719032e-05,2.0859293118709763e-05,2.5930387817730028e-05,3.1001482516750293e-05,3.578114241641245e-05,3.9699698301219854e-05,4.361825418602722e-05,4.7536810070834597e-05,5.1291631160795375e-05,5.4343053028624275e-05,5.7394474896453196e-05,6.0445896764282096e-05,6.517291441985218e-05,8.073624402476292e-05,9.629957362967374e-05,0.00010974764763970722,0.0001152088548775729,0.00012067006211543857,0.00012490763803899114,0.00012632965044898813,0.0001277516628589851,0.00012917367526898207,0.00013018093419321696,0.0001296754533298265,0.00012916997246643604,0.00013097143761987842,0.00013877725534779882,0.0001465830730757192,0.00014228043960450007,0.00013552934444343215,0.00012877824928236414,0.00012202715412129621,0.00011818285346916481,0.00011507996582789252,0.00011197707818662023,0.00011320335657576606,0.00011602435500587253,0.0001122058153743561,0.00010658249084393725,0.00010095916631351832,9.533584178309945e-05,8.972986804405509e-05,8.413591772031468e-05,9.561233835479025e-05,0.00011192674846906357,0.00010478793116252386,9.61364992783532e-05,8.748506739418254e-05,7.915471447032376e-05,7.103012848026555e-05,6.22497950187315e-05,5.200005812707362e-05,4.1750321235415735e-05,3.1500584343757857e-05,-2.5042069962670916e-05,-9.37328828968377e-05,-0.000158763465737038,-0.00020698019731608697,-0.0002462217382602188,-0.000383995257260918,-0.0005178584019843095,2.62529565,1.7366739825833333,7.3231923375,101005.10458333332,0.001238127542625,1.625,7.53125,230.12249755859372,3.1477315278928697,2.640625,-0.3697245428906732,0.9291414114031744,-2.4492935982947064e-16,1.0
2011-01-10,-0.00025997765272721917,-0.0002383063001161178,-0.00017285480016033356,-0.00013665411431683865,-0.00010988597347721023,-8.311783263758183e-05,-6.420471935979508e-05,-7.40575709269816e-05,-8.391042249416803e-05,-7.948452381595631e-05,-6.1713818728494e-05,-4.3685998314208135e-05,-3.617241205085631e-05,-5.255533791420436e-05,-6.893826377755227e-05,-7.989312038943163e-05,-7.604650228217281e-05,-7.219988417491403e-05,-7.133715944678715e-05,-7.622443044660777e-05,-7.496063184746774e-05,-6.50040388931181e-05,-5.493614386245741e-05,-4.368339050050095e-05,-3.4115226630985816e-05,-2.4610397668897466e-05,-1.8214958183839573e-05,-1.2532999636311044e-05,-3.984999954556142e-06,5.397510571084853e-06,1.4733834980171742e-05,2.4070159389258666e-05,3.1072737666129227e-05,2.4015562171452835e-05,1.6958386676776447e-05,9.184463311108683e-06,6.463025482624687e-06,1.143472219870995e-05,1.7593412591471817e-05,2.1238749970014363e-05,2.650018383704314e-05,3.241217776563764e-05,3.832417169423214e-05,4.3128211238738156e-05,4.682743063229221e-05,5.0788930764001505e-05,5.442896479028867e-05,5.705366111999817e-05,5.902906586004747e-05,6.118139945474704e-05,6.443111465798743e-05,6.92275336652966e-05,8.390065605205684e-05,9.772500577103761e-05,0.00010959681186397774,0.00011543114368597557,0.00012139262681280551,0.00012619264106035577,0.00012835865128907735,0.00013052466151779887,0.00013269067174652042,0.0001340050927339044,0.0001338955850153773,0.00013378607729685018,0.0001358060582092457,0.00014319867282424096,0.0001505432966601449,0.0001467108886199201,0.00014061958049246652,0.00013453054369806414,0.00012844150690366184,0.00012485501693693801,0.00012180063761950471,0.00011874625830207143,0.00011966411909861176,0.00012197658563975923,0.00011816024781633171,0.0001127816406673201,0.00010754365847664766,0.00010194768895354517,9.551340461194381e-05,8.909021880754611e-05,9.839612600663259e-05,0.00011182786252258105,0.00010361046603470211,9.453500531590859e-05,8.585408803152216e-05,7.746955132588515e-05,7.006396193112203e-05,6.272257308398807e-05,5.25828917199804e-05,4.136975250464999e-05,3.0046032211683512e-05,-2.4445001409107068e-05,-9.014971991704043e-05,-0.00015370742834865263,-0.0002031279603819989,-0.0002454727309520318,-0.00038582871151128544,-0.0005169207348476817,1.7539138894166666,-3.9965069958333337,8.139787675,100896.20083333332,0.0001094937317341,0.6299999952316284,12.36750030517578,208.99874877929688,4.364433766164114,0.3968999939918518,0.1712931441814776,0.9852201067560606,0.4999999999999999,0.8660254037844387
2011-02-11,-0.00024645681761470504,-0.00022651530297207746,-0.0001641539309648467,-0.0001289574631965545,-0.00010260398260208365,-7.625050200761282e-05,-5.773542168588107e-05,-6.617455139116811e-05,-7.46136810964551e-05,-7.031417056592359e-05,-5.400592135165677e-05,-3.7461983087801695e-05,-3.052961901603699e-05,-4.543534189412003e-05,-6.0341064772202966e-05,-7.028363295123139e-05,-6.671562203694597e-05,-6.31476111226606e-05,-6.23148358059128e-05,-6.675288990645022e-05,-6.525632835063958e-05,-5.578032973250462e-05,-4.620230421108455e-05,-3.553815855264335e-05,-2.8243191879084796e-05,-2.107489502037986e-05,-1.675687184895284e-05,-1.2565592943860057e-05,-2.642231770314504e-06,7.635068634213483e-06,1.745681161660209e-05,2.7278554598990734e-05,3.390894802889108e-05,2.764690349855718e-05,2.1384858968223278e-05,1.3689318695906688e-05,1.0438770231703552e-05,1.4407076810834168e-05,2.1346387921116286e-05,2.59845281203097e-05,3.214107455537652e-05,3.889396771354525e-05,4.5646860871713985e-05,5.047528006106385e-05,5.395516296336458e-05,5.795960734197579e-05,6.132111950974274e-05,6.281569107920096e-05,6.371507869147067e-05,6.496832401304089e-05,6.841633255169276e-05,7.328215291074102e-05,8.706506807935077e-05,9.915043791240146e-05,0.00010944597608824825,0.00011565343249437823,0.00012211519151017244,0.0001274776440817204,0.00013038765212916654,0.00013329766017661264,0.00013620766822405877,0.00013782925127459186,0.0001381157167009281,0.00013840218212726434,0.00014064067879861298,0.0001476200903006831,0.00015450352024457063,0.00015114133763534008,0.00014570981654150092,0.00014028283811376414,0.00013485585968602744,0.0001315271804047112,0.0001285213094111169,0.00012551543841752264,0.00012612488162145745,0.00012792881627364592,0.00012411468025830732,0.00011898079049070295,0.00011412815063977702,0.00010855953612399088,0.00010129694117983253,9.404451989477753e-05,0.00010117991365847491,0.00011172897657609854,0.00010243300090688038,9.293351135346397e-05,8.422310866886177e-05,7.578438818144653e-05,6.909779538197851e-05,6.319535114924466e-05,5.316572531288718e-05,4.098918377388426e-05,2.859148007960917e-05,-2.384793285554322e-05,-8.656655693724316e-05,-0.00014865139096026728,-0.00019927572344791085,-0.00024472372364384485,-0.0003876621657616529,-0.0005159830677110538,0.0502751697916666,-1.5774415308333334,3.918940795833333,100903.12729166668,1.9292036615e-05,0.6875,11.22624969482422,225.8874969482422,1.5782424959097354,0.47265625,0.6616346182422783,0.7498264012045686,0.8660254037844386,0.5000000000000001
2011-03-15,-0.0002329359825021909,-0.0002147243058280371,-0.00015545306176935984,-0.00012126081207627035,-9.532199172695708e-05,-6.938317137764382e-05,-5.126612401196706e-05,-5.829153185535463e-05,-6.531693969874216e-05,-6.114381731589088e-05,-4.6298023974819535e-05,-3.123796786139525e-05,-2.488682598121766e-05,-3.83153458740357e-05,-5.1743865766853644e-05,-6.067414551303113e-05,-5.738474179171913e-05,-5.4095338070407175e-05,-5.3292512165038466e-05,-5.728134936629267e-05,-5.555202485381142e-05,-4.655662057189115e-05,-3.746846455971169e-05,-2.7392926604785744e-05,-2.2371157127183775e-05,-1.753939237186225e-05,-1.52987855140661e-05,-1.2598186251409068e-05,-1.2994635860728659e-06,9.872626697342116e-06,2.0179788253032438e-05,3.04869498087228e-05,3.674515839165294e-05,3.127824482566152e-05,2.581133125967011e-05,1.8194174080704694e-05,1.4414514980782418e-05,1.737943142295839e-05,2.5099363250760754e-05,3.0730306270605034e-05,3.77819652737099e-05,4.537575766145287e-05,5.2969550049195835e-05,5.782234888338955e-05,6.108289529443693e-05,6.513028391995007e-05,6.821327422919681e-05,6.857772103840375e-05,6.840109152289386e-05,6.875524857133473e-05,7.240155044539808e-05,7.733677215618543e-05,9.02294801066447e-05,0.00010057587005376533,0.00010929514031251877,0.00011587572130278089,0.00012283775620753937,0.00012876264710308502,0.00013241665296925576,0.00013607065883542644,0.00013972466470159713,0.0001416534098152793,0.0001423358483864789,0.00014301828695767848,0.00014547529938798025,0.00015204150777712523,0.00015846374382899633,0.0001555717866507601,0.00015080005259053529,0.00014603513252946416,0.00014127021246839307,0.0001381993438724844,0.00013524198120272912,0.00013228461853297385,0.00013258564414430317,0.00013388104690753263,0.00013006911270028293,0.0001251799403140858,0.00012071264280290637,0.0001151713832944366,0.00010708047774772125,9.899882098200897e-05,0.00010396370131031725,0.00011163009062961602,0.00010125553577905863,9.133201739101936e-05,8.259212930620139e-05,7.40992250370079e-05,6.813162883283498e-05,6.366812921450123e-05,5.374855890579397e-05,4.0608615043118514e-05,2.7136927947534824e-05,-2.325086430197937e-05,-8.298339395744588e-05,-0.00014359535357188192,-0.0001954234865138228,-0.00024397471633565783,-0.0003894956200120203,-0.0005150454005744258,0.4711710592083333,-2.4271234083333333,5.155143916666667,100662.305625,3.073612839666666e-05,0.7112500071525574,11.763750076293944,202.6699981689453,2.472434065109749,0.5058765726745129,0.9562348265919056,0.2926003356333483,1.0,6.123233995736766e-17
2011-04-16,-0.00021941514738967678,-0.00020293330868399672,-0.000146752192573873,-0.0001135641609559862,-8.80400008518305e-05,-6.251584074767482e-05,-4.479682633805305e-05,-5.0408512319541156e-05,-5.6020198301029225e-05,-5.1973464065858155e-05,-3.859012659798231e-05,-2.5013952634988806e-05,-1.9244032946398333e-05,-3.1195349853951373e-05,-4.314666676150433e-05,-5.106465807483088e-05,-4.80538615464923e-05,-4.5043065018153746e-05,-4.427018852416412e-05,-4.7809808826135126e-05,-4.584772135698325e-05,-3.7332911411277674e-05,-2.8734624908338827e-05,-1.9247694656928144e-05,-1.6499122375282758e-05,-1.4003889723344646e-05,-1.3840699179179364e-05,-1.263077955895808e-05,4.330459816877134e-08,1.2110184760470745e-05,2.2902764889462788e-05,3.369534501845487e-05,3.958136875441479e-05,3.4909586152765865e-05,3.023780355111694e-05,2.2699029465502697e-05,1.8390259729861284e-05,2.035178603508261e-05,2.8852338580405226e-05,3.547608442090036e-05,4.342285599204327e-05,5.1857547609360474e-05,6.029223922667768e-05,6.516941770571524e-05,6.82106276255093e-05,7.230096049792436e-05,7.510542894865088e-05,7.433975099760654e-05,7.308710435431704e-05,7.254217312962858e-05,7.638676833910341e-05,8.139139140162985e-05,9.339389213393861e-05,0.00010200130219512919,0.0001091443045367893,0.00011609801011118355,0.00012356032090490632,0.00013004765012444966,0.00013444565380934495,0.00013884365749424022,0.00014324166117913548,0.00014547756835596679,0.00014655598007202973,0.00014763439178809264,0.00015030991997734753,0.00015646292525356737,0.00016242396741342205,0.0001600022356661801,0.00015589028863956968,0.00015178742694516416,0.00014768456525075867,0.0001448715073402576,0.0001419626529943413,0.00013905379864842505,0.00013904640666714886,0.00013983327754141933,0.00013602354514225855,0.00013137909013746866,0.00012729713496603573,0.0001217832304648823,0.00011286401431560999,0.00010395312206924039,0.00010674748896215959,0.00011153120468313352,0.00010007807065123688,8.973052342857474e-05,8.0961149943541e-05,7.241406189256929e-05,6.716546228369147e-05,6.414090727975781e-05,5.433139249870075e-05,4.022804631235278e-05,2.5682375815460477e-05,-2.2653795748415523e-05,-7.940023097764861e-05,-0.00013853931618349656,-0.0001915712495797347,-0.0002432257090274708,-0.00039132907426238774,-0.000514107733437798,-0.3750082525,0.1747792597916666,3.721294541666667,100962.16895833334,0.0005367994345541,1.0499999523162842,17.71500015258789,198.03125,0.4137378144385967,1.102499899864199,0.9679377830240642,-0.2511900638848193,0.8660254037844387,-0.4999999999999998
2011-05-18,-0.00020589431227716266,-0.00019114231153995637,-0.00013805132337838612,-0.00010586750983570205,-8.075800997670393e-05,-5.564851011770581e-05,-3.832752866413904e-05,-4.252549278372768e-05,-4.672345690331629e-05,-4.280311081582543e-05,-3.0882229221145076e-05,-1.8789937408582364e-05,-1.3601239911579007e-05,-2.4075353833867048e-05,-3.454946775615501e-05,-4.145517063663063e-05,-3.872298130126546e-05,-3.599079196590032e-05,-3.5247864883289786e-05,-3.833826828597758e-05,-3.614341786015509e-05,-2.8109202250664206e-05,-2.0000785256965963e-05,-1.1102462709070539e-05,-1.0627087623381737e-05,-1.046838707482704e-05,-1.2382612844292628e-05,-1.2663372866507093e-05,1.3860727824104094e-06,1.4347742823599377e-05,2.5625741525893138e-05,3.690374022818693e-05,4.241757911717665e-05,3.854092747987021e-05,3.4664275842563776e-05,2.7203884850300704e-05,2.236600447894015e-05,2.3324140647206828e-05,3.26053139100497e-05,4.02218625711957e-05,4.906374671037665e-05,5.833933755726809e-05,6.761492840415953e-05,7.251648652804095e-05,7.533835995658166e-05,7.947163707589864e-05,8.199758366810494e-05,8.010178095680934e-05,7.777311718574024e-05,7.632909768792243e-05,8.037198623280874e-05,8.544601064707425e-05,9.655830416123254e-05,0.00010342673433649304,0.00010899346876105981,0.00011632029891958621,0.00012428288560227324,0.0001313326531458143,0.00013647465464943417,0.000141616656153054,0.00014675865765667384,0.00014930172689665424,0.00015077611175758052,0.00015225049661850678,0.0001551445405667148,0.00016088434273000952,0.00016638419099784774,0.0001644326846816001,0.00016098052468860405,0.00015753972136086416,0.0001540989180331243,0.00015154367080803078,0.00014868332478595352,0.00014582297876387625,0.00014550716918999458,0.00014578550817530604,0.00014197797758423416,0.0001375782399608515,0.0001338816271291651,0.00012839507763532802,0.00011864755088349871,0.00010890742315647182,0.00010953127661400192,0.000111432318736651,9.890060552341515e-05,8.812902946613012e-05,7.933017058088061e-05,7.072889874813068e-05,6.619929573454796e-05,6.461368534501438e-05,5.491422609160753e-05,3.9847477581587036e-05,2.4227823683386133e-05,-2.2056727194851675e-05,-7.581706799785134e-05,-0.0001334832787951112,-0.00018771901264564664,-0.00024247670171928382,-0.00039316252851275517,-0.0005131700663011701,1.29174740875,0.8770694720833333,3.97142715,101040.29958333333,5.573034276666667e-05,0.9175000190734864,13.83625030517578,191.75125122070312,1.5613655007309712,0.8418062849998478,0.6932812268869777,-0.7206671495538609,0.4999999999999999,-0.8660254037844387
