valid_time,u10,v10,fg10,msl,sst,tp,latitude,longitude
2026-01-03 04:00:00,-0.08918762,-3.281372,6.7864676,101277.75,,0.0,6.5,80.0
2026-01-03 05:00:00,0.2613678,-3.0014954,6.814401,101223.56,,0.0,6.5,80.0
2026-01-03 06:00:00,0.60687256,-2.9465942,6.348628,101174.31,,2.861023e-06,6.5,80.0
2026-01-03 07:00:00,0.74398804,-2.953003,5.371876,101065.0,,9.536743e-07,6.5,80.0
2026-01-03 08:00:00,0.6049652,-2.9136658,5.48045,100971.0,,0.0,6.5,80.0
2026-01-03 09:00:00,0.45509338,-2.527481,5.4795666,100858.19,,0.0,6.5,80.0
2026-01-03 10:00:00,1.0952454,-2.0595856,5.269543,100821.25,,0.0,6.5,80.0
2026-01-03 11:00:00,0.5617218,-1.9637604,4.691997,100856.5,,0.0,6.5,80.0
2026-01-03 12:00:00,-0.05419922,-1.5475922,4.044022,100944.69,,0.0,6.5,80.0
2026-01-03 13:00:00,-0.96435547,-1.4588165,3.3671079,101017.25,,0.0,6.5,80.0
2026-01-03 14:00:00,-1.4032135,-1.534195,3.5954063,101123.375,,0.0,6.5,80.0
2026-01-03 15:00:00,-1.8564758,-1.7039337,4.3583426,101225.56,,9.536743e-07,6.5,80.0
2026-01-03 16:00:00,-2.0315094,-2.0266418,4.9494348,101287.875,,1.4305115e-06,6.5,80.0
2026-01-03 17:00:00,-1.7854767,-2.3517761,5.4156337,101288.5,,0.0,6.5,80.0
2026-01-03 18:00:00,-1.4112244,-3.0332794,6.021186,101252.56,,0.0,6.5,80.0
2026-01-03 19:00:00,-1.0545044,-3.8037567,5.4595065,101183.875,,0.0,6.5,80.0
2026-01-03 20:00:00,-0.84503174,-4.297943,6.020253,101097.31,,0.0,6.5,80.0
2026-01-03 21:00:00,-0.85298157,-4.568863,6.3839865,101015.25,,0.0,6.5,80.0
2026-01-03 22:00:00,-0.8327637,-4.2722473,6.5390873,101014.31,,0.0,6.5,80.0
2026-01-03 23:00:00,-0.6883545,-4.308853,6.491737,101014.5,,0.0,6.5,80.0
2026-01-04 00:00:00,-1.1877441,-4.063919,6.4286504,101041.06,,0.0,6.5,80.0
2026-01-04 01:00:00,-1.2410736,-3.6336823,6.2263427,101128.5,,3.8146973e-06,6.5,80.0
2026-01-04 02:00:00,-1.056076,-3.563675,6.033577,101208.625,,8.583069e-06,6.5,80.0
2026-01-04 03:00:00,-0.86543274,-3.460556,5.6154056,101301.44,,7.6293945e-06,6.5,80.0
2026-01-04 04:00:00,-0.6419525,-3.3609161,5.583587,101329.5,,4.7683716e-06,6.5,80.0
2026-01-04 05:00:00,-0.43692017,-3.1947784,5.8283353,101309.69,,1.9073486e-06,6.5,80.0
2026-01-04 06:00:00,-0.28730774,-2.937851,5.896926,101238.94,,0.0,6.5,80.0
2026-01-04 07:00:00,0.018310547,-2.8684845,5.2285404,101154.44,,1.1444092e-05,6.5,80.0
2026-01-04 08:00:00,0.5444336,-2.546997,5.0870724,101043.69,,4.7683716e-07,6.5,80.0
2026-01-04 09:00:00,0.8409424,-1.8719635,4.632854,100972.0,,2.3841858e-06,6.5,80.0
2026-01-04 10:00:00,1.0880432,-0.8308258,3.8524735,100894.31,,0.0,6.5,80.0
2026-01-04 11:00:00,0.38310242,-0.8565521,3.282216,100904.56,,1.7166138e-05,6.5,80.0
2026-01-04 12:00:00,-0.1648407,-1.0065308,3.0673203,100980.94,,9.536743e-07,6.5,80.0
2026-01-04 13:00:00,-0.8008728,-1.010025,2.6039023,101071.06,,0.0,6.5,80.0
2026-01-04 14:00:00,-1.193512,-0.9549408,3.2662287,101151.94,,0.0,6.5,80.0
2026-01-04 15:00:00,-1.3014526,-1.3135986,3.3443296,101262.19,,0.0,6.5,80.0
2026-01-04 16:00:00,-1.6649323,-1.7548676,3.1039743,101310.81,,0.0,6.5,80.0
2026-01-04 17:00:00,-1.7196198,-1.9120636,3.353364,101335.44,,4.7683716e-07,6.5,80.0
2026-01-04 18:00:00,-0.88383484,-1.9306946,3.6423457,101303.5,,3.33786e-05,6.5,80.0
2026-01-04 19:00:00,-0.13015747,-2.6156769,3.8782375,101251.69,,9.059906e-06,6.5,80.0
2026-01-04 20:00:00,0.02998352,-3.5842133,5.2541723,101170.69,,2.3841858e-06,6.5,80.0
2026-01-04 21:00:00,-0.23466492,-4.274246,6.1794825,101117.375,,0.0,6.5,80.0
2026-01-04 22:00:00,-0.62854004,-4.182907,6.600486,101048.19,,0.0,6.5,80.0
2026-01-04 23:00:00,-0.5604706,-4.3058014,6.7891545,101064.44,,0.0,6.5,80.0
2026-01-05 00:00:00,-0.6826782,-4.5591125,7.0327578,101093.94,,0.0,6.5,80.0
2026-01-05 01:00:00,-0.74443054,-4.7518005,7.302399,101164.81,,0.0,6.5,80.0
2026-01-05 02:00:00,-0.63339233,-5.220886,8.124855,101239.19,,4.7683716e-07,6.5,80.0
2026-01-05 03:00:00,-0.5064392,-5.5799103,8.997544,101324.81,,4.7683716e-07,6.5,80.0
2026-01-05 04:00:00,-0.55303955,-5.617859,9.333312,101334.25,,0.0,6.5,80.0
2026-01-05 05:00:00,-0.72483826,-5.100006,9.113405,101313.375,,0.0,6.5,80.0
2026-01-05 06:00:00,-0.6192627,-4.3190155,8.523597,101225.25,,0.0,6.5,80.0
2026-01-05 07:00:00,0.030136108,-3.6016693,6.7256007,101118.75,,2.9087067e-05,6.5,80.0
2026-01-05 08:00:00,0.81855774,-3.06427,5.7742314,101039.125,,1.001358e-05,6.5,80.0
2026-01-05 09:00:00,1.6938019,-2.611557,5.470212,100934.875,,6.67572e-06,6.5,80.0
2026-01-05 10:00:00,-0.057235718,-1.3124084,5.5468607,100927.19,,0.00018405914,6.5,80.0
2026-01-05 11:00:00,-0.874115,-0.12931824,6.0584874,100943.69,,0.00066661835,6.5,80.0
2026-01-05 12:00:00,-0.92326355,0.26828003,4.8266497,101010.44,,0.00034618378,6.5,80.0
2026-01-05 13:00:00,-1.1417694,-0.32305908,4.5005965,101096.31,,0.00020217896,6.5,80.0
2026-01-05 14:00:00,-1.3092346,-1.0027618,3.8633866,101193.19,,0.00012588501,6.5,80.0
2026-01-05 15:00:00,-1.3221893,-1.3356628,3.3796363,101238.69,,0.00031805038,6.5,80.0
2026-01-05 16:00:00,-1.0541687,-1.4642792,3.3042278,101306.44,,0.00077724457,6.5,80.0
2026-01-05 17:00:00,-0.45928955,-1.7927704,3.194747,101279.25,,0.0014982224,6.5,80.0
2026-01-05 18:00:00,-0.015258789,-2.2216492,3.3272943,101246.44,,0.002008438,6.5,80.0
2026-01-05 19:00:00,-0.18493652,-2.662506,4.0077553,101219.94,,2.5749207e-05,6.5,80.0
2026-01-05 20:00:00,-0.50102234,-3.1114197,4.775487,101150.375,,6.580353e-05,6.5,80.0
2026-01-05 21:00:00,-0.7144928,-3.404419,5.331746,101103.875,,8.2969666e-05,6.5,80.0
2026-01-05 22:00:00,-1.1575775,-3.1612244,5.682086,101041.19,,0.00011730194,6.5,80.0
2026-01-05 23:00:00,-1.0613251,-3.0098267,5.728269,101078.44,,5.197525e-05,6.5,80.0
2026-01-06 00:00:00,-0.7903595,-2.981659,5.5813837,101107.125,,6.1035156e-05,6.5,80.0
2026-01-06 01:00:00,-0.9270172,-3.2078705,5.4574804,101209.69,,2.4795532e-05,6.5,80.0
2026-01-06 02:00:00,-1.2729492,-3.593567,5.8499203,101293.375,,0.00015497208,6.5,80.0
2026-01-06 03:00:00,-1.4044342,-3.730667,6.1557937,101363.5,,0.00011634827,6.5,80.0
